"Year,""Lg"",""Rd"",""Pk"",""Tm"",""Player"",""Pos"",""College"",""From"",""To"",""G"",""MP"",""PTS"",""TRB"",""AST"",""STL"",""BLK"",""FG%"",""2P%"",""3P%"",""FT%"",""WS"",""WS/48"""
"2004,""NBA"",1,5,""WAS"",""Devin Harris"",""G"",""University of Wisconsin"",2005,2019,985,24.3,10.8,2.2,3.9,1,0.2,0.432,0.481,0.325,0.796,54.9,0.11"
"2006,""NBA"",1,8,""HOU"",""Rudy Gay"",""F"",""University of Connecticut"",2007,2019,879,34,17.6,5.9,2.2,1.3,0.8,0.456,0.483,0.348,0.796,54.9,0.088"
"2001,""NBA"",2,38,""DET"",""Mehmet Okur"",""C-F"","""",2003,2012,634,29.1,13.5,7,1.7,0.5,0.7,0.458,0.484,0.375,0.797,54.7,0.142"
"2008,""NBA"",1,25,""HOU"",""Nicolas Batum"",""F-G"","""",2009,2019,767,31.6,11.8,5.3,3.8,1,0.6,0.435,0.503,0.358,0.841,54.1,0.107"
"2013,""NBA"",1,15,""MIL"",""Giannis Antetokounmpo"",""F-G"","""",2014,2019,465,32.7,18.8,8.3,4.1,1.2,1.3,0.521,0.557,0.277,0.742,53.2,0.168"
"2013,""NBA"",1,27,""DEN"",""Rudy Gobert"",""C"","""",2014,2019,406,28.7,11.1,10.5,1.3,0.7,2.2,0.629,0.629,0,0.631,52.8,0.218"
"2003,""NBA"",2,42,""ORL"",""Zaza Pachulia"",""C"","""",2004,2019,1098,20.3,6.8,5.8,1.3,0.7,0.3,0.469,0.472,0,0.751,52.7,0.114"
"2003,""NBA"",1,7,""CHI"",""Kirk Hinrich"",""G"",""University of Kansas"",2004,2016,879,30.7,10.9,2.9,4.8,1.1,0.3,0.411,0.432,0.375,0.8,52.5,0.093"
"2003,""NBA"",1,21,""ATL"",""Boris Diaw"",""F-C"","""",2004,2017,1064,27,8.6,4.4,3.5,0.6,0.5,0.493,0.529,0.336,0.717,51.6,0.086"
"2001,""NBA"",1,26,""PHI"",""Samuel Dalembert"",""C"",""Seton Hall University"",2002,2015,886,24.4,7.7,7.8,0.5,0.5,1.7,0.521,0.522,0.083,0.706,51.3,0.114"
"2001,""NBA"",2,31,""GSW"",""Gilbert Arenas"",""G"",""University of Arizona"",2002,2012,552,35.1,20.7,3.9,5.3,1.6,0.2,0.421,0.458,0.351,0.803,51.3,0.127"
"2004,""NBA"",1,17,""ATL"",""Josh Smith"",""F"","""",2005,2018,894,32.4,14.5,7.4,3.1,1.2,1.9,0.452,0.48,0.285,0.632,51,0.084"
"2008,""NBA"",2,45,""SAS"",""Goran Dragi?"",""G"","""",2009,2019,758,28,13.7,3.1,4.8,1,0.2,0.466,0.508,0.363,0.762,51,0.115"
"2002,""NBA"",1,10,""MIA"",""Caron Butler"",""F"",""University of Connecticut"",2003,2016,881,32.2,14.1,5,2.3,1.3,0.2,0.434,0.456,0.348,0.847,50.9,0.086"
"2005,""NBA"",1,1,""MIL"",""Andrew Bogut"",""C"",""University of Utah"",2006,2019,706,28.1,9.6,8.7,2.2,0.6,1.5,0.535,0.537,0.12,0.557,50.6,0.122"
"2008,""NBA"",1,6,""NYK"",""Danilo Gallinari"",""F"","""",2009,2019,549,31.1,15.9,4.9,2,0.8,0.4,0.425,0.464,0.376,0.871,50.4,0.142"
"2001,""NBA"",1,14,""GSW"",""Troy Murphy"",""F-C"",""University of Notre Dame"",2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,0.445,0.464,0.388,0.785,50.3,0.121"
