"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"51,2000,NBA,1,8,CLE,Jamal Crawford\crawfja01,20.105,G,us,University of Michigan,2001,2019,1326,29.4,14.6,2.2,3.4,0.9,0.2,.410,.449,.348,.862,60.6,.075"
"52,2009,NBA,1,9,TOR,DeMar DeRozan\derozde01,19.327,G-F,us,University of Southern California,2010,2019,752,34.1,19.9,4.3,3.4,1.0,0.3,.451,.470,.283,.828,60.3,.113"
"53,2008,NBA,1,10,NJN,Brook Lopez\lopezbr01,20.091,C,us,Stanford University,2009,2019,717,30.9,17.3,6.5,1.5,0.6,1.7,.498,.521,.347,.791,60.1,.130"
"54,2004,NBA,2,43,NYK,Trevor Ariza\arizatr01,18.364,F,us,University of California Los Angeles,2005,2019,1011,29.8,10.7,4.8,2.2,1.5,0.3,.422,.482,.351,.728,60.0,.095"
"55,2008,NBA,1,26,SAS,George Hill\hillge01,22.059,G,us,Indiana University-Purdue University Indianapolis,2009,2019,726,28.2,11.2,3.1,3.2,0.9,0.3,.453,.496,.378,.801,59.9,.140"
"56,2001,NBA,1,25,SAC,Gerald Wallace\wallage01,18.344,F,us,University of Alabama,2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,.469,.502,.312,.709,59.7,.116"
"57,2007,NBA,1,12,PHI,Thaddeus Young\youngth01,19.011,F,us,Georgia Institute of Technology,2008,2019,901,30.7,13.4,6.0,1.7,1.5,0.4,.501,.524,.329,.673,59.7,.103"
"58,2005,NBA,2,45,PHI,Lou Williams\willilo02,18.249,G,us,,2006,2019,936,24.6,14.2,2.2,3.3,0.9,0.2,.421,.459,.349,.839,59.4,.124"
"59,2001,NBA,1,5,GSW,Jason Richardson\richaja01,20.163,G,us,Michigan State University,2002,2015,857,34.1,17.1,5.0,2.7,1.2,0.4,.438,.474,.370,.707,59.1,.097"
"60,2006,NBA,1,11,ORL,J.J. Redick\redicjj01,22.009,G,us,Duke University,2007,2019,836,25.9,12.9,2.0,2.0,0.5,0.1,.448,.484,.413,.890,58.9,.131"
"61,2002,NBA,1,3,GSW,Mike Dunleavy\dunlemi02,21.289,F-G,us,Duke University,2003,2017,986,27.7,11.2,4.3,2.2,0.7,0.3,.441,.481,.377,.803,58.5,.103"
"62,2006,NBA,1,21,PHO,Rajon Rondo\rondora01,20.131,G,us,University of Kentucky,2007,2019,825,31.7,10.4,4.8,8.5,1.7,0.1,.460,.483,.315,.605,58.4,.107"
"63,2011,NBA,1,1,CLE,Kyrie Irving\irvinky01,19.096,G,au,Duke University,2012,2019,508,33.8,22.2,3.6,5.7,1.3,0.3,.465,.498,.390,.875,58.4,.163"
"64,2012,NBA,1,9,DET,Andre Drummond\drumman01,18.327,C,us,University of Connecticut,2013,2019,542,30.8,14.1,13.7,1.2,1.3,1.6,.543,.547,.147,.448,56.4,.162"
"65,2000,NBA,2,43,MIL,Michael Redd\reddmi01,20.314,G,us,Ohio State University,2001,2012,629,32.0,19.0,3.8,2.1,0.9,0.1,.447,.475,.380,.838,55.9,.134"
"66,2005,NBA,2,56,DET,Amir Johnson\johnsam01,18.063,F-C,us,,2006,2019,870,21.1,7.0,5.4,1.2,0.6,1.0,.570,.588,.332,.673,55.3,.145"
"67,2004,NBA,1,5,WAS,Devin Harris\harride01,21.123,G,us,University of Wisconsin,2005,2019,985,24.3,10.8,2.2,3.9,1.0,0.2,.432,.481,.325,.796,54.9,.110"
"68,2006,NBA,1,8,HOU,Rudy Gay\gayru01,19.320,F,us,University of Connecticut,2007,2019,879,34.0,17.6,5.9,2.2,1.3,0.8,.456,.483,.348,.796,54.9,.088"
"69,2001,NBA,2,38,DET,Mehmet Okur\okurme01,22.038,C-F,tr,,2003,2012,634,29.1,13.5,7.0,1.7,0.5,0.7,.458,.484,.375,.797,54.7,.142"
"70,2008,NBA,1,25,HOU,Nicolas Batum\batumni01,19.199,F-G,fr,,2009,2019,767,31.6,11.8,5.3,3.8,1.0,0.6,.435,.503,.358,.841,54.1,.107"
"71,2013,NBA,1,15,MIL,Giannis Antetokounmpo\antetgi01,18.208,F-G,gr,,2014,2019,465,32.7,18.8,8.3,4.1,1.2,1.3,.521,.557,.277,.742,53.2,.168"
"72,2013,NBA,1,27,DEN,Rudy Gobert\goberru01,21.006,C,fr,,2014,2019,406,28.7,11.1,10.5,1.3,0.7,2.2,.629,.629,.000,.631,52.8,.218"
"73,2003,NBA,2,42,ORL,Zaza Pachulia\pachuza01,19.141,C,ge,,2004,2019,1098,20.3,6.8,5.8,1.3,0.7,0.3,.469,.472,.000,.751,52.7,.114"
"74,2003,NBA,1,7,CHI,Kirk Hinrich\hinriki01,22.180,G,us,University of Kansas,2004,2016,879,30.7,10.9,2.9,4.8,1.1,0.3,.411,.432,.375,.800,52.5,.093"
"75,2003,NBA,1,21,ATL,Boris Diaw\diawbo01,21.076,F-C,fr,,2004,2017,1064,27.0,8.6,4.4,3.5,0.6,0.5,.493,.529,.336,.717,51.6,.086"
"76,2001,NBA,1,26,PHI,Samuel Dalembert\dalemsa01,20.053,C,ht,Seton Hall University,2002,2015,886,24.4,7.7,7.8,0.5,0.5,1.7,.521,.522,.083,.706,51.3,.114"
"77,2001,NBA,2,31,GSW,Gilbert Arenas\arenagi01,19.177,G,us,University of Arizona,2002,2012,552,35.1,20.7,3.9,5.3,1.6,0.2,.421,.458,.351,.803,51.3,.127"
"78,2004,NBA,1,17,ATL,Josh Smith\smithjo03,18.206,F,us,,2005,2018,894,32.4,14.5,7.4,3.1,1.2,1.9,.452,.480,.285,.632,51.0,.084"
"79,2008,NBA,2,45,SAS,Goran Dragi?\dragigo01,22.057,G,si,,2009,2019,758,28.0,13.7,3.1,4.8,1.0,0.2,.466,.508,.363,.762,51.0,.115"
"80,2002,NBA,1,10,MIA,Caron Butler\butleca01,22.110,F,us,University of Connecticut,2003,2016,881,32.2,14.1,5.0,2.3,1.3,0.2,.434,.456,.348,.847,50.9,.086"
"81,2005,NBA,1,1,MIL,Andrew Bogut\bogutan01,20.217,C,au,University of Utah,2006,2019,706,28.1,9.6,8.7,2.2,0.6,1.5,.535,.537,.120,.557,50.6,.122"
"82,2008,NBA,1,6,NYK,Danilo Gallinari\gallida01,19.327,F,it,,2009,2019,549,31.1,15.9,4.9,2.0,0.8,0.4,.425,.464,.376,.871,50.4,.142"
"83,2001,NBA,1,14,GSW,Troy Murphy\murphtr01,21.061,F-C,us,University of Notre Dame,2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,.445,.464,.388,.785,50.3,.121"
"84,2009,NBA,1,21,NOH,Darren Collison\collida01,21.312,G,us,University of California Los Angeles,2010,2019,708,29.4,12.5,2.7,5.0,1.2,0.1,.471,.495,.394,.853,49.9,.115"
"85,2009,NBA,1,26,CHI,Taj Gibson\gibsota01,24.007,F,us,University of Southern California,2010,2019,737,25.9,9.8,6.4,1.0,0.6,1.1,.512,.517,.212,.709,49.8,.125"
