Year,Lg,Rd,Pk,Tm,Player,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2016,NBA,2,47,ORL,Jake Layman,F,us,University of Maryland,2017,2019,141,12.3,4.6,1.8,0.5,0.3,0.3,0.457,0.584,0.302,0.714,2.7,0.075
2005,NBA,1,13,CHA,Sean May,F,us,University of North Carolina,2006,2010,119,15.7,6.9,4,1,0.4,0.4,0.458,0.462,0.231,0.746,2.6,0.068
2009,NBA,2,45,MIN,Nick Calathes,G,us,University of Florida,2014,2015,129,15.6,4.6,1.9,2.7,1,0.1,0.441,0.476,0.288,0.581,2.6,0.063
2018,NBA,2,33,DAL,Jalen Brunson,G,us,Villanova University,2019,2019,73,21.8,9.3,2.3,3.2,0.5,0.1,0.467,0.523,0.348,0.725,2.6,0.077
2005,NBA,2,55,SEA,Lawrence Roberts,F,us,Mississippi State University,2006,2007,87,13.2,3.8,3.6,0.4,0.5,0.2,0.452,0.46,0,0.688,2.5,0.106
2017,NBA,2,33,ORL,Wesley Iwundu,F,us,Kansas State University,2018,2019,130,17.3,4.4,2.5,1,0.5,0.3,0.419,0.458,0.304,0.787,2.5,0.054
2009,NBA,2,53,SAS,Nando De Colo,G,fr,,2013,2014,119,11.9,3.8,1.8,1.7,0.5,0.1,0.429,0.463,0.363,0.835,2.4,0.081
2012,NBA,2,60,LAL,Robert Sacre,C,us,Gonzaga University,2013,2016,189,14.5,4.2,3.1,0.7,0.3,0.6,0.436,0.437,0,0.671,2.4,0.042
2015,NBA,1,5,ORL,Mario Hezonja,F-G,hr,,2016,2019,277,18.9,7.3,3,1.3,0.7,0.3,0.417,0.484,0.321,0.811,2.4,0.022
2015,NBA,2,31,MIN,Cedi Osman,F,mk,,2018,2019,137,22.7,9,3.5,1.7,0.6,0.1,0.437,0.506,0.351,0.736,2.4,0.036
2017,NBA,1,18,IND,T.J. Leaf,F,il,University of California Los Angeles,2018,2019,111,8.8,3.4,1.9,0.3,0.1,0.2,0.511,0.557,0.356,0.617,2.4,0.117
2011,NBA,1,18,WAS,Chris Singleton,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
2016,NBA,1,8,SAC,Marquese Chriss,F,us,University of Washington,2017,2019,197,19.1,7.6,4.5,0.8,0.7,0.8,0.429,0.509,0.296,0.628,2.3,0.029
2005,NBA,2,31,ATL,Salim Stoudamire,G,us,University of Arizona,2006,2008,157,17,8,1.4,1,0.4,0.1,0.407,0.435,0.366,0.882,2.2,0.04
2011,NBA,1,10,MIL,Jimmer Fredette,G,us,Brigham Young University,2012,2019,241,13.3,6,1,1.4,0.4,0,0.409,0.434,0.372,0.879,2.2,0.033
2015,NBA,1,14,OKC,Cameron Payne,G,us,Murray State University,2016,2019,153,16,6,1.8,2.5,0.7,0.2,0.397,0.443,0.331,0.775,2.2,0.044
2000,NBA,1,11,BOS,Jérôme Moïso,F-C,fr,University of California Los Angeles,2001,2005,145,9.6,2.7,2.7,0.3,0.3,0.5,0.489,0.494,0,0.593,2.1,0.074
2001,NBA,1,24,UTA,Raül López,G,es,,2004,2005,113,18.9,6.5,1.7,3.8,0.7,0,0.429,0.45,0.346,0.853,2.1,0.047
2011,NBA,2,45,NOH,Josh Harrellson,C,us,University of Kentucky,2012,2014,75,11.8,3.5,3,0.3,0.4,0.5,0.438,0.497,0.347,0.629,2.1,0.116
2013,NBA,2,36,SAC,Ray McCallum,G,us,University of Detroit Mercy,2014,2016,154,18.2,6,2,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035
2017,NBA,2,44,NYK,Damyean Dotson,G,us,University of Oregon,2018,2019,117,21.2,8.2,3,1.4,0.6,0.1,0.421,0.477,0.361,0.736,2.1,0.041
2001,NBA,1,17,TOR,Michael Bradley,F-C,us,Villanova University,2002,2006,173,11.7,2.8,3.4,0.5,0.1,0.3,0.477,0.488,0.143,0.511,2,0.047
2004,NBA,1,22,NJN,Viktor Khryapa,F,ua,,2005,2008,143,16.4,4.5,3.4,1,0.6,0.3,0.443,0.457,0.292,0.658,2,0.041
