,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,eFG%,WS,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year,Year,Rd,Pk,Tm,Projected Rd,Projected Pk,Team Score
106,Jason Hart,JR,1999,G,Syracuse,Big East,33,32.364000000000004,5.061,12.333,3.455,7.939,1.6059999999999999,4.394,2.1519999999999997,2.909,0.0,0.0,2.97,4.333,3.0610000000000004,0.182,3.1210000000000004,3.03,13.879000000000001,22.02,0.474,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,49.0,MIL,2.0,49.0,0.0
114,Eddie House,JR,1999,G,Arizona State,Pac-10,30,36.867,6.867000000000001,15.9,4.7,10.333,2.167,5.567,3.033,3.833,0.0,0.0,4.9,3.1,2.033,0.1,2.8,2.9,18.933,23.18,0.48100000000000004,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,37.0,MIA,2.0,37.0,0.0
122,Khalid El-Amin,SO,1999,G,Connecticut,Big East,36,28.639,4.833,11.722000000000001,3.417,7.528,1.4169999999999998,4.194,2.722,3.5,0.0,0.0,2.806,3.889,1.639,0.027999999999999997,2.639,2.278,13.806,22.74,0.47700000000000004,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,34.0,CHI,2.0,34.0,0.0
124,Keyon Dooling,FR,1999,G,Missouri,Big 12,28,24.143,2.786,6.071000000000001,2.5,5.071000000000001,0.28600000000000003,1.0,2.821,3.929,0.0,0.0,2.0709999999999997,3.036,1.143,0.429,1.964,1.679,8.679,17.85,0.46799999999999997,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,10.0,ORL,1.0,10.0,0.0
125,A.J. Guyton,JR,1999,G,Indiana,Big Ten,34,34.059,5.824,12.794,3.588,7.294,2.235,5.5,2.088,2.765,0.0,0.0,3.4410000000000003,2.588,0.647,0.41200000000000003,2.294,1.235,15.970999999999998,20.61,0.541,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,32.0,CHI,2.0,32.0,0.0
126,Kaniel Dickens,SO,1999,C,Idaho,Big West,26,16.423,2.5380000000000003,5.308,2.5380000000000003,5.192,0.0,0.115,1.192,1.962,0.0,0.0,4.769,0.26899999999999996,0.8079999999999999,0.5379999999999999,1.808,1.0,6.269,13.99,0.512,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,50.0,UTA,2.0,50.0,0.0
130,Marcus Fizer,SO,1999,F,Iowa State,Big 12,30,32.033,6.332999999999999,14.067,6.132999999999999,13.133,0.2,0.9329999999999999,5.1,6.933,0.0,0.0,7.632999999999999,1.133,0.9670000000000001,0.767,2.267,2.6,17.967,23.05,0.595,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,4.0,CHI,1.0,4.0,0.0
146,Daniel Orton,FR,2000,F,Kentucky,SEC,38,13.210999999999999,1.263,2.395,1.263,2.342,0.0,0.053,0.868,1.6580000000000001,1.1840000000000002,2.1319999999999997,3.3160000000000003,0.395,0.5529999999999999,1.395,1.0,2.316,3.395,17.37,0.527,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,29.0,ORL,1.0,29.0,0.0
199,Ater Majok,FR,2000,F,Connecticut,Big East,26,14.731,0.9620000000000001,2.269,0.9620000000000001,2.269,0.0,0.0,0.34600000000000003,0.846,1.2309999999999999,1.808,3.0380000000000003,0.154,0.154,1.615,0.8079999999999999,1.962,2.269,11.65,0.424,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2.0,58.0,LAL,2.0,58.0,0.0
246,John Wall,FR,2000,G,Kentucky,SEC,37,34.811,5.459,11.838,4.459,8.757,1.0,3.0810000000000004,4.73,6.27,0.8109999999999999,3.486,4.297,6.513999999999999,1.784,0.514,4.027,1.946,16.649,26.12,0.503,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010.0,1.0,1.0,WAS,1.0,1.0,0.0
276,Hassan Whiteside,FR,2000,C,Marshall,CUSA,34,26.147,4.912,9.382,4.824,9.235,0.08800000000000001,0.147,3.235,5.5,2.7060000000000004,6.206,8.912,0.294,0.5589999999999999,5.353,1.882,2.412,13.147,33.5,0.528,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,2.0,33.0,SAC,2.0,33.0,0.0
314,Lance Stephenson,FR,2000,F,Cincinnati,Big East,34,28.235,4.765,10.824000000000002,4.294,8.676,0.47100000000000003,2.147,2.324,3.5,1.8530000000000002,3.5,5.353,2.471,0.912,0.17600000000000002,2.3819999999999997,1.9409999999999998,12.324000000000002,22.65,0.462,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,2.0,40.0,IND,2.0,40.0,0.0
331,DeMarcus Cousins,FR,2000,F,Kentucky,SEC,38,23.5,5.421,9.711,5.395,9.552999999999999,0.026000000000000002,0.158,4.263,7.053,4.053,5.789,9.842,1.0,0.9740000000000001,1.7630000000000001,2.053,3.2110000000000003,15.132,38.05,0.56,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,5.0,SAC,1.0,5.0,0.0
403,Eric Bledsoe,FR,2000,G,Kentucky,SEC,37,30.324,3.892,8.432,2.568,4.973,1.324,3.4589999999999996,2.2159999999999997,3.324,0.514,2.568,3.0810000000000004,2.892,1.405,0.324,3.0269999999999997,2.2159999999999997,11.324000000000002,18.02,0.54,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,18.0,OKC,1.0,18.0,0.0
410,Avery Bradley,FR,2000,G,Texas,Big 12,34,29.5,4.676,10.824000000000002,3.4410000000000003,7.529,1.235,3.2939999999999996,1.0590000000000002,1.9409999999999998,0.971,1.912,2.8819999999999997,2.088,1.294,0.529,1.5290000000000001,2.353,11.647,20.83,0.489,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,19.0,BOS,1.0,19.0,0.0
426,Xavier Henry,FR,2000,G,Kansas,Big 12,36,27.5,4.5,9.833,2.583,5.25,1.9169999999999998,4.583,2.5,3.194,1.194,3.167,4.361000000000001,1.472,1.5,0.5,1.9169999999999998,1.8330000000000002,13.417,25.71,0.555,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,12.0,MEM,1.0,12.0,0.0
438,Darington Hobson,JR,2000,F,New Mexico,MWC,35,33.571,5.513999999999999,12.543,4.4,9.457,1.114,3.0860000000000003,3.714,5.686,2.114,7.143,9.257,4.571000000000001,1.2570000000000001,0.429,2.971,1.943,15.857000000000001,27.82,0.484,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,2.0,37.0,MIL,2.0,37.0,0.0
475,Tiny Gallon,FR,2000,F,Oklahoma,Big 12,30,24.0,4.067,7.433,3.9330000000000003,6.867000000000001,0.133,0.5670000000000001,2.0669999999999997,2.967,2.767,5.167000000000001,7.933,0.8,0.7,0.767,2.333,2.833,10.333,23.1,0.39,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,2.0,47.0,MIL,2.0,47.0,0.0
479,Derrick Favors,FR,2000,F,Georgia Tech,ACC,36,27.471999999999998,4.9719999999999995,8.139,4.9719999999999995,8.111,0.0,0.027999999999999997,2.5,3.972,3.0,5.417000000000001,8.417,1.028,0.889,2.056,2.5,2.611,12.444,26.26,0.611,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,3.0,NJN,1.0,3.0,0.0
507,Zach Randolph,FR,2001,C,Michigan State,Big Ten,33,19.817999999999998,4.1819999999999995,7.121,4.1819999999999995,7.091,0.0,0.03,2.424,3.818,3.0610000000000004,3.636,6.697,1.03,0.727,0.667,1.6059999999999999,1.818,10.788,31.55,0.5870000000000001,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1.0,19.0,POR,1.0,19.0,0.0
508,Brendan Haywood,SR,2001,C,North Carolina,ACC,33,27.303,4.697,7.939,4.697,7.939,0.0,0.0,2.8789999999999996,5.5760000000000005,3.182,4.152,7.332999999999999,1.273,0.545,3.636,2.0,2.9389999999999996,12.273,28.42,0.5920000000000001,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1.0,20.0,CLE,1.0,20.0,0.0
510,Richard Jefferson,JR,2001,F,Arizona,Pac-10,35,27.456999999999997,4.2,8.771,3.3139999999999996,6.2,0.8859999999999999,2.571,2.057,3.1430000000000002,1.6569999999999998,3.7710000000000004,5.428999999999999,2.6860000000000004,0.7709999999999999,0.8,2.971,2.8,11.343,20.96,0.5539999999999999,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1.0,13.0,HOU,1.0,13.0,0.0
