,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Year,Rd,Pk,Tm
577,Roy Hibbert,21.44545455,3.372727273,7.145454545,0.495727273,0,0.027272727,0.104545455,3.363636364,7.1,0.496454545,0.496090909,1.790909091,2.363636364,0.695,1.981818182,3.427272727,5.409090909,1.118181818,0.318181818,1.509090909,1.336363636,2.763636364,8.545454545,22.44818182,2008,1,17,TOR
578,Ronald Murray,20.1875,3.23125,7.8625,0.402125,0.53125,1.825,0.2408125,2.7125,6.04375,0.4443125,0.4308125,1.55625,2.16875,0.66,0.34375,1.50625,1.85,2.1125,0.7125,0.14375,1.475,1.3,8.53125,20.79,2002,2,42,MIL
580,Boris Diaw,26.91666667,3.55,7.205555556,0.493833333,0.477777778,1.372222222,0.338555556,3.083333333,5.844444444,0.529111111,0.5265,0.916666667,1.294444444,0.700944444,1.205555556,3.227777778,4.427777778,3.433333333,0.605555556,0.477777778,1.85,2.155555556,8.522222222,18.08333333,2003,1,21,ATL
581,Rodions Kurucs,20.5,3.2,7.1,0.45,0.9,2.9,0.315,2.3,4.2,0.543,0.514,1.1,1.5,0.783,0.9,3,3.9,0.8,0.7,0.4,1.2,2.3,8.5,20.74,2018,2,40,BRK
582,Jarvis Hayes,23.75714286,3.357142857,8.042857143,0.416714286,0.928571429,2.628571429,0.352142857,2.428571429,5.457142857,0.454,0.476714286,0.9,1.114285714,0.789,0.6,2.585714286,3.2,1.128571429,0.742857143,0.142857143,0.9,1.985714286,8.5,18.57714286,2003,1,10,WAS
583,Jerryd Bayless,21.3,2.98,7.413333333,0.398866667,0.873333333,2.413333333,0.340866667,2.113333333,4.993333333,0.424133333,0.455133333,1.693333333,2.046666667,0.801466667,0.353333333,1.833333333,2.166666667,2.953333333,0.58,0.12,1.48,1.993333333,8.486666667,20.47933333,2008,1,11,IND
586,Luke Ridnour,24.5,3.235714286,7.6,0.421071429,0.664285714,1.971428571,0.341714286,2.564285714,5.635714286,0.450071429,0.466785714,1.314285714,1.528571429,0.814928571,0.421428571,1.721428571,2.121428571,4.15,0.9,0.185714286,1.521428571,2.035714286,8.464285714,19.71785714,2003,1,14,SEA
588,Cedi Osman,21.6,3.1,7.05,0.4555,1.1,3.15,0.358,2,3.9,0.5375,0.537,1.15,1.6,0.672,0.45,2.9,3.35,1.65,0.6,0.05,1,1.95,8.45,19.71,2015,2,31,MIN
589,Hakim Warrick,18.35,2.966666667,6.258333333,0.469916667,0.025,0.15,0.082416667,2.941666667,6.108333333,0.4775,0.471583333,2.458333333,3.341666667,0.742583333,1.158333333,2.333333333,3.483333333,0.7,0.441666667,0.241666667,1.025,1.55,8.416666667,23.27166667,2005,1,19,MEM
591,Ryan Gomes,24.025,3.2375,7.3625,0.425,0.525,1.6375,0.283375,2.7,5.7375,0.46925,0.456125,1.375,1.7125,0.68375,1.0625,2.9,3.9625,1.225,0.625,0.1375,0.975,1.75,8.4,16.82125,2005,2,50,BOS
594,Glen Davis,21.67,3.36,7.45,0.453,0.02,0.12,0.144,3.34,7.35,0.4571,0.4542,1.65,2.34,0.7006,1.46,3.11,4.56,0.95,0.71,0.37,1.06,2.37,8.36,20.202,2007,2,35,SEA
595,Speedy Claxton,23.51111111,3.055555556,7.6,0.393333333,0.111111111,0.622222222,0.141111111,2.944444444,7.022222222,0.412666667,0.399444444,2.1,2.866666667,0.695666667,0.488888889,1.688888889,2.188888889,4.266666667,1.333333333,0.111111111,1.544444444,2.255555556,8.344444444,21.23111111,2000,1,20,PHI
596,Wayne Ellington,21.42857143,3,7.307142857,0.411714286,1.592857143,4.207142857,0.381142857,1.414285714,3.107142857,0.4635,0.516785714,0.728571429,0.857142857,0.852357143,0.314285714,1.814285714,2.107142857,1.15,0.642857143,0.071428571,0.692857143,1.214285714,8.314285714,19.70357143,2009,1,28,MIN
597,Mikal Bridges,29.5,3,6.9,0.43,1.3,3.8,0.335,1.7,3,0.548,0.523,1.2,1.4,0.805,0.7,2.5,3.2,2.1,1.6,0.5,0.9,2.5,8.3,17.92,2018,1,10,PHI
598,Cody Zeller,22.96666667,3.116666667,5.95,0.513833333,0.033333333,0.1,0.34,3.083333333,5.833333333,0.518333333,0.5165,2.066666667,2.816666667,0.740333333,1.883333333,3.966666667,5.833333333,1.383333333,0.666666667,0.75,1.05,2.7,8.3,21.86,2013,1,4,CHA
601,Shane Battier,30.16,2.94,6.733333333,0.432733333,1.246666667,3.28,0.3784,1.673333333,3.453333333,0.482,0.531133333,1.126666667,1.533333333,0.743733333,1.266666667,2.92,4.18,1.793333333,0.98,0.893333333,0.9,2.186666667,8.266666667,17.12,2001,1,6,MEM
604,Allen Crabbe,21.7,2.883333333,6.916666667,0.412833333,1.516666667,3.833333333,0.395833333,1.383333333,3.083333333,0.433333333,0.517666667,0.9,1.116666667,0.799666667,0.25,2.283333333,2.55,1.05,0.516666667,0.283333333,0.7,1.9,8.216666667,18.16333333,2013,2,31,CLE
613,Jerami Grant,22.81428571,2.871428571,6.528571429,0.441142857,0.6,1.914285714,0.283571429,2.285714286,4.642857143,0.495,0.489714286,1.828571429,2.942857143,0.623571429,0.771428571,2.828571429,3.571428571,0.842857143,0.471428571,1.271428571,0.971428571,2.257142857,8.128571429,19.04142857,2014,2,39,PHI
615,Jodie Meeks,19.18333333,2.758333333,6.625,0.414916667,1.283333333,3.366666667,0.373916667,1.483333333,3.241666667,0.4585,0.510916667,1.316666667,1.5,0.881166667,0.241666667,1.658333333,1.908333333,1.016666667,0.575,0.083333333,0.633333333,1.033333333,8.116666667,21.635,2009,2,41,MIL
616,Frank Jackson,19.2,3.2,7.3,0.434,0.9,2.8,0.314,2.3,4.6,0.507,0.493,0.9,1.2,0.74,0.4,1.8,2.2,1.1,0.4,0,0.8,1.5,8.1,20.43,2017,2,31,CHO
617,Danny Green,22.67,2.91,6.8,0.4249,1.66,4.15,0.3868,1.26,2.65,0.4783,0.5421,0.63,0.79,0.7166,0.57,2.6,3.17,1.4,0.87,0.71,0.93,1.56,8.09,20.751,2009,2,46,CLE
618,Tony Allen,21.57142857,3.135714286,6.528571429,0.478714286,0.15,0.571428571,0.260357143,2.957142857,5.978571429,0.497285714,0.491071429,1.657142857,2.342857143,0.691071429,1.2,2.207142857,3.414285714,1.285714286,1.364285714,0.407142857,1.392857143,2.35,8.071428571,20.68142857,2004,1,25,BOS
620,Nerlens Noel,21.62857143,3.328571429,6.114285714,0.553571429,0,0,0.071428571,3.328571429,6.085714286,0.555142857,0.553714286,1.4,2.142857143,0.674,1.928571429,4.3,6.228571429,1.1,1.328571429,1.185714286,1.257142857,2.471428571,8.057142857,24.82571429,2013,1,6,NOH
621,Tomáš Satoranský,24.8,3,5.95,0.504,0.7,1.7,0.43,2.25,4.25,0.534,0.565,1.3,1.65,0.8,1,2.35,3.35,4.45,0.85,0.2,1.3,2,8.05,21.32,2012,2,32,WAS
623,Ben McLemore,21.26666667,2.916666667,7.016666667,0.414,1.15,3.15,0.363833333,1.783333333,3.866666667,0.447833333,0.499,1.083333333,1.4,0.763833333,0.433333333,1.816666667,2.25,0.966666667,0.616666667,0.183333333,1.133333333,2.133333333,8.033333333,18.35833333,2013,1,7,SAC
628,Willie Green,19.46666667,3.175,7.491666667,0.42225,0.716666667,2.016666667,0.358333333,2.441666667,5.483333333,0.444416667,0.47525,0.916666667,1.2,0.7745,0.316666667,1.425,1.733333333,1.308333333,0.508333333,0.15,0.966666667,1.675,8,19.29083333,2003,2,41,SEA
629,Dee Brown,22.39444444,2.972222222,7.244444444,0.383,0.944444444,2.722222222,0.306388889,2.033333333,4.5,0.401777778,0.450388889,1.138888889,1.372222222,0.721666667,0.372222222,1.683333333,2.033333333,2.772222222,0.972222222,0.216666667,1.222222222,1.822222222,8,18.34166667,2006,2,46,UTA
631,Marreese Speights,15.36666667,3.133333333,6.85,0.45525,0.3,0.841666667,0.255333333,2.825,6.033333333,0.470166667,0.477666667,1.45,1.833333333,0.785583333,1.416666667,2.791666667,4.2,0.65,0.291666667,0.525,0.891666667,2.225,7.991666667,27.40583333,2008,1,16,PHI
