,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Year,Rd,Pk,Tm
952,Terrence Williams,16.475,2.45,6.0125,0.405125,0.3875,1.2,0.31425,2.075,4.8125,0.42425,0.4385,0.7875,1.2625,0.60425,0.325,2.6375,2.9375,2.0125,0.5375,0.1,1.4125,1.175,6.075,19.56625,2009,1,11,NJN
953,Darrell Arthur,16.54444444,2.544444444,5.722222222,0.442111111,0.355555556,1,0.230555556,2.166666667,4.722222222,0.465666667,0.478111111,0.644444444,0.844444444,0.742777778,0.988888889,2.211111111,3.211111111,0.8,0.588888889,0.555555556,0.822222222,2.277777778,6.055555556,19.86,2008,1,27,NOH
955,Jerian Grant,17.85,2.075,5.1,0.41325,0.65,1.925,0.319,1.475,3.15,0.467,0.4785,1.15,1.5,0.76625,0.325,1.575,1.9,2.85,0.75,0.1,0.975,1.475,6.025,20.075,2015,1,19,WAS
956,Brandan Wright,15.14117647,2.570588235,4.270588235,0.596882353,0,0.011764706,0,2.570588235,4.252941176,0.598823529,0.596882353,0.852941176,1.288235294,0.616235294,1.270588235,2.058823529,3.323529412,0.441176471,0.417647059,0.929411765,0.435294118,1.347058824,6.017647059,23.89117647,2007,1,8,CHA
964,Thomas Bryant,12.8,2.4,4.2,0.4985,0.3,1.05,0.2165,2.15,3.15,0.6605,0.5265,0.9,1.25,0.6685,0.9,2.8,3.7,0.85,0.2,0.5,0.45,1.1,6,24.51,2017,2,42,UTA
965,Mike Sweetney,14.475,2.225,4.65,0.47675,0,0,0,2.225,4.65,0.478,0.47675,1.525,2.25,0.6715,1.625,2.6,4.225,0.6,0.325,0.425,1.125,2.275,6,21.5725,2003,1,9,NYK
966,Shaun Livingston,20.455,2.475,5.13,0.47355,0.005,0.1,0.1011,2.47,5.045,0.48085,0.47435,1.055,1.285,0.78025,0.515,1.82,2.32,2.865,0.67,0.33,1.23,1.675,6,17.1975,2004,1,4,LAC
967,Thabo Sefolosha,22.29333333,2.286666667,5.14,0.446866667,0.58,1.68,0.339,1.7,3.46,0.497066667,0.505266667,0.833333333,1.093333333,0.7484,0.74,3.073333333,3.813333333,1.406666667,1.12,0.46,0.9,1.66,5.993333333,17.47533333,2006,1,13,PHI
968,Shelvin Mack,16.82666667,2.36,5.62,0.4138,0.6,1.833333333,0.279733333,1.766666667,3.8,0.493066667,0.461,0.72,1.033333333,0.639466667,0.213333333,1.52,1.726666667,2.706666667,0.606666667,0.04,1.226666667,1.206666667,5.98,18.792,2011,2,34,WAS
970,Justin Anderson,14.5,2.116666667,4.983333333,0.422166667,0.7,2.3,0.300166667,1.433333333,2.683333333,0.527833333,0.492333333,1.016666667,1.3,0.774333333,0.75,2.083333333,2.8,0.766666667,0.45,0.316666667,0.683333333,1.316666667,5.966666667,22.49666667,2015,1,21,DAL
971,Dante Cunningham,20.82857143,2.542857143,5.421428571,0.4695,0.342857143,1.007142857,0.179285714,2.207142857,4.414285714,0.507285714,0.505642857,0.507142857,0.778571429,0.66,1.128571429,2.664285714,3.8,0.692857143,0.628571429,0.471428571,0.521428571,1.721428571,5.964285714,17.40071429,2009,2,33,POR
973,Luc Mbah a Moute,21.94615385,2.3,5.061538462,0.458615385,0.284615385,0.853846154,0.265846154,2.023076923,4.192307692,0.487461538,0.485153846,1.069230769,1.669230769,0.637538462,1.253846154,2.446153846,3.692307692,0.869230769,0.815384615,0.369230769,0.861538462,1.761538462,5.946153846,15.89846154,2008,2,37,MIL
975,Kwame Brown,20.57142857,2.257142857,4.542857143,0.495857143,0,0,0.035714286,2.257142857,4.521428571,0.496642857,0.495928571,1.435714286,2.757142857,0.506714286,1.635714286,3.585714286,5.235714286,0.914285714,0.557142857,0.564285714,1.257142857,2.235714286,5.942857143,16.75214286,2001,1,1,WAS
978,Reggie Bullock,17.87,2.12,5.14,0.3774,1.17,3.16,0.3364,0.94,1.98,0.4416,0.4811,0.54,0.64,0.7732,0.25,1.71,1.97,0.96,0.46,0.15,0.5,0.97,5.94,16.213,2013,1,25,LAC
982,DeJuan Blair,14.88571429,2.585714286,4.971428571,0.502428571,0,0,0,2.585714286,4.971428571,0.504714286,0.502428571,0.757142857,1.271428571,0.590571429,1.671428571,2.814285714,4.471428571,0.728571429,0.657142857,0.257142857,0.985714286,2.2,5.914285714,21.47285714,2009,2,37,SAS
985,Aaron Holiday,12.9,2.1,5.2,0.401,0.9,2.5,0.339,1.2,2.7,0.459,0.483,0.8,1,0.82,0.1,1.2,1.3,1.7,0.4,0.3,0.8,1.4,5.9,23.86,2018,1,23,IND
986,Omari Spellman,17.5,2.1,5.3,0.402,1,2.8,0.344,1.2,2.5,0.466,0.492,0.7,1,0.711,1.6,2.7,4.2,1,0.6,0.5,0.7,1.5,5.9,22.11,2018,1,30,ATL
989,R.J. Hunter,11.7,2.1,5,0.29475,1.275,3.725,0.229,0.825,1.3,0.455,0.376,0.4,0.65,0.58925,0.275,1.075,1.325,1,0.5,0.025,0.175,1.3,5.875,18.805,2015,1,28,BOS
991,Donté Greene,16.4,2.225,5.55,0.39425,0.65,2.1,0.29175,1.6,3.45,0.4605,0.45,0.775,1.075,0.7395,0.525,1.8,2.325,0.675,0.4,0.45,0.85,1.45,5.875,17.77,2008,1,28,MEM
1000,Kevin Séraphin,15.13333333,2.616666667,5.416666667,0.478166667,0,0,0,2.616666667,5.4,0.479666667,0.478166667,0.6,0.816666667,0.746333333,1.216666667,2.2,3.416666667,0.583333333,0.216666667,0.75,1.066666667,2.166666667,5.816666667,19.29333333,2010,1,17,CHI
1001,Frank Ntilikina,21.45,2.25,6.5,0.3505,0.7,2.35,0.3025,1.55,4.15,0.378,0.4045,0.55,0.8,0.744,0.4,1.75,2.15,3,0.75,0.25,1.5,2.35,5.8,15.165,2017,1,8,NYK
1006,Kareem Rush,15.82222222,2.277777778,5.822222222,0.368,0.744444444,2.111111111,0.328666667,1.511111111,3.688888889,0.389888889,0.429333333,0.477777778,0.655555556,0.694666667,0.277777778,1.211111111,1.5,0.977777778,0.388888889,0.2,0.788888889,1.233333333,5.788888889,15.73444444,2002,1,20,TOR
1008,Mike Muscala,16.075,2.1,4.6375,0.458125,0.7875,2.2375,0.3205,1.325,2.4125,0.539625,0.534125,0.8,0.9375,0.859625,0.925,2.3375,3.25,0.9125,0.3375,0.55,0.65,1.55,5.7625,21.02625,2013,2,44,DAL
1011,Dejounte Murray,15,2.3,5.3,0.437,0.15,0.5,0.328,2.15,4.75,0.4475,0.4605,0.95,1.3,0.7045,0.8,2.6,3.4,2.1,0.7,0.3,1.35,1.35,5.75,21.805,2016,1,29,SAS
1013,Marquese Chriss,15.04,2.14,5.2,0.3904,0.56,2,0.2336,1.58,3.2,0.4976,0.4356,0.96,1.44,0.6968,0.96,2.84,3.8,0.68,0.52,0.56,1.06,2.28,5.72,19.682,2016,1,8,SAC
1014,Rodney White,12.81666667,2.283333333,5.583333333,0.4065,0.366666667,1.116666667,0.330833333,1.933333333,4.45,0.425,0.44,0.783333333,1.033333333,0.703833333,0.416666667,1.366666667,1.766666667,0.916666667,0.5,0.216666667,1,1.15,5.716666667,21.84166667,2001,1,9,DET
1015,Mike Taylor,15.1,2.2,5.2,0.412,0.3,0.8,0.325,1.9,4.5,0.427,0.436,1.1,1.6,0.691,0.4,1.3,1.7,2.1,0.7,0,1.4,1.6,5.7,19.53,2008,2,55,POR
1016,Élie Okobo,18.1,2.2,5.5,0.393,0.7,2.5,0.295,1.4,3,0.475,0.46,0.7,0.9,0.787,0.2,1.6,1.8,2.4,0.6,0.1,1.3,2.1,5.7,16.53,2018,2,31,PHO
1020,Dwight Powell,13.41428571,2.085714286,3.828571429,0.556571429,0.2,0.685714286,0.227857143,1.9,3.157142857,0.601571429,0.578142857,1.314285714,1.757142857,0.717285714,1.042857143,2.214285714,3.257142857,0.657142857,0.528571429,0.328571429,0.542857143,1.671428571,5.7,26.11428571,2014,2,45,CHH
1023,Ivan Rabb,14.5,2.4,4.25,0.5565,0.05,0.15,0.1,2.35,4.1,0.57,0.56,0.9,1.2,0.758,1.45,2.85,4.3,1,0.3,0.35,0.85,1.65,5.7,23.3,2017,2,35,ORL
1024,Willy Hernangómez,11.3,2.075,3.85,0.54625,0.15,0.375,0.39325,1.925,3.5,0.55925,0.56375,1.375,2.075,0.63425,1.475,2.75,4.275,0.75,0.375,0.325,0.775,1.425,5.7,29.6625,2015,2,35,PHI
1029,Jermaine Taylor,12.3,2.325,4.975,0.4585,0.35,1.025,0.3095,2,3.925,0.49825,0.48925,0.725,0.975,0.75675,0.65,1,1.6,0.725,0.375,0.15,1.075,0.85,5.675,21.945,2009,2,32,WAS
1030,Leon Powe,12.6,1.957142857,3.842857143,0.494142857,0,0.028571429,0,1.957142857,3.8,0.498857143,0.494142857,1.8,2.842857143,0.621285714,1.242857143,1.9,3.128571429,0.257142857,0.3,0.228571429,0.628571429,1.842857143,5.657142857,23.48,2006,2,49,DEN
1033,Jason Kapono,15.75555556,2.2,5.055555556,0.412777778,0.755555556,1.811111111,0.388777778,1.433333333,3.244444444,0.431555556,0.482777778,0.455555556,0.533333333,0.796333333,0.288888889,1.155555556,1.455555556,0.711111111,0.311111111,0.033333333,0.555555556,1.344444444,5.644444444,15.43111111,2003,2,31,CLE
1035,Joey Graham,15.33333333,2.166666667,4.516666667,0.477666667,0.133333333,0.466666667,0.322,2,4.033333333,0.497166667,0.492166667,1.183333333,1.466666667,0.811166667,0.65,1.95,2.65,0.533333333,0.333333333,0.133333333,0.783333333,2.016666667,5.633333333,17.34333333,2005,1,16,TOR
1039,Marcus Banks,14.92857143,2.014285714,4.585714286,0.398357143,0.421428571,1.285714286,0.274714286,1.6,3.314285714,0.450857143,0.441214286,1.185714286,1.535714286,0.734142857,0.192857143,1.085714286,1.285714286,1.95,0.585714286,0.171428571,1.15,1.8,5.614285714,18.34857143,2003,1,13,MEM
1044,Grayson Allen,10.9,1.8,4.7,0.376,0.8,2.6,0.323,0.9,2.1,0.443,0.466,1.2,1.6,0.75,0.1,0.5,0.6,0.7,0.2,0.2,0.9,1.2,5.6,21.47,2018,1,21,UTA
1048,Matt Bonner,16.11666667,2.116666667,4.55,0.461666667,0.983333333,2.366666667,0.41225,1.141666667,2.191666667,0.512416667,0.57025,0.4,0.516666667,0.767583333,0.733333333,2.108333333,2.85,0.666666667,0.341666667,0.258333333,0.366666667,1.541666667,5.591666667,19.46166667,2003,2,45,CHI
1049,Larry Sanders,17.31666667,2.416666667,5.116666667,0.435833333,0,0,0,2.416666667,5.116666667,0.437333333,0.435833333,0.733333333,1.333333333,0.604166667,1.85,3.116666667,4.95,0.633333333,0.616666667,1.466666667,0.85,2.666666667,5.583333333,20.515,2010,1,15,MIL
1052,DerMarr Johnson,14.87142857,2.028571429,4.9,0.413714286,0.728571429,2.242857143,0.328714286,1.271428571,2.671428571,0.512285714,0.49,0.771428571,1.014285714,0.687571429,0.414285714,1.428571429,1.871428571,0.714285714,0.5,0.357142857,0.828571429,1.542857143,5.571428571,19.37714286,2000,1,6,ATL
1054,Nik Stauskas,16.23333333,1.866666667,4.777777778,0.374111111,1.011111111,2.733333333,0.329444444,0.844444444,2.022222222,0.402555556,0.470555556,0.811111111,1.011111111,0.838222222,0.2,1.566666667,1.755555556,1.211111111,0.377777778,0.155555556,0.833333333,0.955555556,5.566666667,16.89333333,2014,1,8,SAC
1055,Jamaal Magloire,17.55,1.992857143,4.271428571,0.461071429,0,0,0,1.992857143,4.264285714,0.461714286,0.461071429,1.592857143,2.657142857,0.535571429,1.678571429,3.664285714,5.335714286,0.471428571,0.25,0.671428571,1.271428571,2.3,5.557142857,15.36142857,2000,1,19,CHH
1056,Chris Douglas-Roberts,16.5,1.966666667,4.666666667,0.394833333,0.283333333,1.016666667,0.227333333,1.666666667,3.65,0.445833333,0.423833333,1.35,1.633333333,0.834333333,0.266666667,1.45,1.716666667,0.95,0.466666667,0.183333333,0.633333333,1.183333333,5.55,16.41,2008,2,40,NJN
1059,Jason Smith,14.69285714,2.228571429,5.014285714,0.423857143,0.25,0.778571429,0.236642857,1.985714286,4.242857143,0.417357143,0.458428571,0.85,1.057142857,0.818,1.028571429,2.15,3.164285714,0.692857143,0.285714286,0.571428571,0.778571429,2,5.535714286,20.04785714,2007,1,20,MIA
1065,Kadeem Allen,13.9,1.85,4.3,0.367,0.45,1.25,0.236,1.4,3.05,0.501,0.397,1.3,1.65,0.778,0.3,1.35,1.65,2.35,0.5,0.15,0.95,1.6,5.5,17.48,2017,2,53,BOS
1068,Zach Collins,16.7,2.1,4.8,0.4355,0.5,1.65,0.3205,1.55,3.15,0.4945,0.4905,0.8,1.1,0.6945,1.05,2.75,3.75,0.85,0.3,0.7,0.95,2.15,5.5,18.225,2017,1,10,SAC
1078,Landry Fields,19.8,2.18,4.66,0.461,0.3,1.02,0.2584,1.86,3.66,0.4958,0.4846,0.8,1.16,0.6884,0.86,2.68,3.54,1.4,0.7,0.16,0.86,1.04,5.46,16.262,2010,2,39,NYK
1079,Boštjan Nachbar,15.06,1.83,4.71,0.3768,0.77,2.2,0.3286,1.05,2.52,0.4096,0.4532,1.06,1.37,0.7233,0.33,1.77,2.12,0.79,0.36,0.18,0.73,1.97,5.46,16.715,2002,1,15,HOU
1082,DeAndre' Bembry,16.93333333,2.2,5,0.446666667,0.333333333,1.266666667,0.237333333,1.833333333,3.766666667,0.504,0.476333333,0.666666667,1.133333333,0.530333333,0.466666667,2.466666667,2.933333333,1.7,0.766666667,0.366666667,1.3,1.466666667,5.433333333,17.45666667,2016,1,21,ATL
1087,Jason Collier,14.62,2.12,4.68,0.4452,0.04,0.08,0.1358,2.08,4.58,0.4484,0.4474,1.2,1.56,0.7844,1.12,1.92,3.06,0.4,0.26,0.24,0.74,1.86,5.42,18.388,2000,1,15,MIL
1088,Casey Jacobsen,18.93333333,1.7,4.3,0.390833333,0.733333333,2.05,0.3455,0.983333333,2.266666667,0.447666667,0.475333333,1.283333333,1.683333333,0.7705,0.383333333,1.433333333,1.833333333,1.1,0.4,0.083333333,0.75,1.233333333,5.416666667,14.28,2002,1,22,PHO
1090,Kyle Singler,18.8625,1.9625,4.825,0.39075,0.775,2.125,0.3505,1.1625,2.675,0.41975,0.46725,0.7375,0.9875,0.732125,0.625,1.775,2.4,0.7125,0.475,0.275,0.6625,1.75,5.4125,15.0675,2011,2,33,DET
1091,Kyle O'Quinn,14.02857143,2.271428571,4.428571429,0.513285714,0.057142857,0.257142857,0.134571429,2.228571429,4.142857143,0.534428571,0.519857143,0.771428571,1.028571429,0.749428571,1.257142857,3.157142857,4.428571429,1.3,0.414285714,0.942857143,0.957142857,2.042857143,5.4,24.64142857,2012,2,49,ORL
1094,Dahntay Jones,15.51333333,1.98,4.72,0.403066667,0.2,0.706666667,0.274,1.78,4.013333333,0.430333333,0.423733333,1.226666667,1.633333333,0.678066667,0.44,1.353333333,1.786666667,0.84,0.386666667,0.3,0.666666667,1.946666667,5.386666667,16.616,2003,1,20,BOS
1098,Nick Collison,18.66428571,2.207142857,4.128571429,0.550428571,0.014285714,0.092857143,0.053714286,2.185714286,4.021428571,0.560071429,0.553428571,0.914285714,1.278571429,0.6905,1.771428571,2.935714286,4.7,0.971428571,0.435714286,0.45,0.9,2.514285714,5.357142857,17.23785714,2003,1,12,SEA
1103,Daequan Cook,15.4,1.9,5.3375,0.352375,1.1,3.1625,0.337875,0.8125,2.175,0.382,0.456,0.3875,0.4875,0.771375,0.2125,1.6375,1.8375,0.6625,0.325,0.1375,0.4875,1.2,5.3375,17.1575,2007,1,21,PHI
1105,Cheick Diallo,12.3,2.233333333,4.033333333,0.558,0,0.033333333,0.083333333,2.233333333,4.033333333,0.559666667,0.558666667,0.9,1.166666667,0.739333333,1.166666667,3.366666667,4.533333333,0.366666667,0.3,0.433333333,0.566666667,1.466666667,5.333333333,25.82333333,2016,2,33,LAC
1108,Ike Diogu,10.94,1.86,3.73,0.4467,0.01,0.03,0.1,1.85,3.7,0.4472,0.4483,1.59,2.02,0.7982,1.05,1.66,2.69,0.24,0.13,0.23,0.76,1.53,5.33,22.294,2005,1,9,GSW
1116,Dwayne Bacon,15.6,2.1,4.8,0.425,0.55,1.4,0.3465,1.6,3.4,0.4515,0.4765,0.6,0.8,0.7695,0.15,2.1,2.2,0.9,0.3,0.05,0.4,1.3,5.3,17.265,2017,2,40,NOP
1122,Meyers Leonard,14.61428571,2.042857143,4.2,0.496428571,0.628571429,1.642857143,0.349428571,1.385714286,2.528571429,0.554,0.564,0.571428571,0.685714286,0.829428571,0.728571429,2.885714286,3.6,0.828571429,0.185714286,0.257142857,0.657142857,2.071428571,5.285714286,19.48571429,2012,1,11,POR
1125,Joffrey Lauvergne,13.23333333,2.133333333,4.65,0.455,0.266666667,0.95,0.236,1.866666667,3.7,0.493166667,0.483666667,0.716666667,1.05,0.674666667,1.1,2.55,3.65,0.85,0.316666667,0.166666667,0.8,1.283333333,5.25,22.375,2013,2,55,MEM
1129,Shannon Brown,13.28,1.986666667,4.973333333,0.391933333,0.426666667,1.266666667,0.2644,1.56,3.72,0.4116,0.428666667,0.806666667,1.086666667,0.743266667,0.3,0.96,1.253333333,0.78,0.54,0.146666667,0.86,1.133333333,5.213333333,17.59933333,2006,1,25,CLE
1130,Sterling Brown,16.1,2,4.6,0.4325,0.75,2.1,0.3565,1.25,2.45,0.4985,0.514,0.45,0.55,0.7825,0.5,2.4,2.9,0.95,0.5,0.15,0.65,1.5,5.2,17.77,2017,2,46,PHI
1131,Ray McCallum,16.56,2.1,5.46,0.3898,0.52,1.4,0.3468,1.6,4.02,0.4026,0.4346,0.48,0.68,0.7446,0.36,1.3,1.62,2.16,0.48,0.2,0.9,1.12,5.2,17.934,2013,2,36,SAC
1132,Chandler Hutchison,20.3,2.2,4.8,0.459,0.3,1.1,0.28,1.9,3.6,0.516,0.493,0.5,0.9,0.605,0.7,3.5,4.2,0.8,0.5,0.1,0.6,1.3,5.2,15.16,2018,1,22,CHI
1134,Kyle Anderson,19.5,2.12,4.34,0.4662,0.2,0.6,0.314,1.94,3.74,0.4896,0.4886,0.8,1.16,0.6938,0.64,3.22,3.88,1.88,0.98,0.54,0.84,1.4,5.2,18.456,2014,1,30,SAS
1137,Byron Mullens,12.74285714,2.057142857,5.014285714,0.401714286,0.528571429,1.557142857,0.236571429,1.514285714,3.442857143,0.447428571,0.454571429,0.542857143,0.871428571,0.481571429,0.742857143,2.185714286,2.928571429,0.485714286,0.328571429,0.328571429,0.757142857,1.471428571,5.2,19.04,2009,1,24,DAL
1138,Jason Maxiell,17.28,2.09,4.27,0.4836,0,0,0,2.09,4.26,0.4842,0.4836,1.02,1.83,0.5342,1.55,2.29,3.83,0.4,0.35,0.73,0.75,1.79,5.19,17.816,2005,1,26,DET
1142,Shane Larkin,17.875,2,4.775,0.40975,0.475,1.325,0.33475,1.525,3.475,0.43675,0.45775,0.7,0.9,0.76575,0.325,1.45,1.8,2.675,0.85,0.075,1.1,1.425,5.15,17.56,2013,1,18,ATL
1144,Josh Boone,17.225,2.175,4,0.545,0,0,0,2.175,4,0.545,0.545,0.775,1.775,0.426,1.85,2.95,4.85,0.5,0.4,0.7,0.65,1.8,5.15,19.4175,2006,1,23,NJN
1145,Thomas Robinson,14.06666667,2.133333333,4.577777778,0.470555556,0,0.022222222,0,2.133333333,4.566666667,0.472888889,0.470555556,0.866666667,1.711111111,0.506111111,1.766666667,3.222222222,4.988888889,0.622222222,0.555555556,0.355555556,1.1,1.8,5.144444444,22.02222222,2012,1,5,SAC
1146,Xavier Henry,14.8,1.72,4.38,0.3718,0.22,0.58,0.248,1.54,3.8,0.3834,0.3868,1.52,2.38,0.623,0.38,1.24,1.66,0.62,0.5,0.12,0.66,1.3,5.14,16.184,2010,1,12,MEM
1147,Ronnie Brewer,17.95714286,2.028571429,4.407142857,0.363928571,0.15,0.578571429,0.1825,1.885714286,3.842857143,0.394285714,0.383928571,0.921428571,1.407142857,0.445857143,0.657142857,1.571428571,2.228571429,1.25,0.964285714,0.157142857,0.55,0.764285714,5.128571429,15.27714286,2006,1,14,UTA
1148,Jaren Jackson,14.17692308,1.876923077,4.638461538,0.375846154,0.530769231,1.592307692,0.245461538,1.361538462,3.038461538,0.402615385,0.424692308,0.846153846,1.115384615,0.688615385,0.515384615,1.292307692,1.807692308,0.892307692,0.538461538,0.184615385,0.746153846,1.576923077,5.123076923,18.66923077,2018,1,4,MEM
1149,Sergio Rodríguez,14.3,1.966666667,4.433333333,0.432833333,0.433333333,1.3,0.326,1.533333333,3.116666667,0.4785,0.4805,0.733333333,1,0.748166667,0.35,0.966666667,1.3,3.05,0.633333333,0.05,1.416666667,1.25,5.116666667,20.51,2006,1,27,PHO
1158,A.J. Price,13.17777778,1.888888889,5.066666667,0.355222222,0.666666667,2.322222222,0.242888889,1.233333333,2.755555556,0.444666667,0.412111111,0.655555556,0.9,0.562,0.222222222,1.033333333,1.266666667,1.9,0.366666667,0.022222222,0.7,0.766666667,5.088888889,20.56,2009,2,52,IND
1160,Kosta Koufos,14.29230769,2.223076923,4.269230769,0.513692308,0,0.007692308,0,2.223076923,4.261538462,0.514923077,0.513692308,0.6,1.007692308,0.574615385,1.561538462,2.815384615,4.384615385,0.446153846,0.376923077,0.661538462,0.653846154,1.776923077,5.069230769,21.90307692,2008,1,23,UTA
1164,Ryan Kelly,16.475,1.675,4.525,0.35375,0.525,1.65,0.30225,1.15,2.875,0.37025,0.41,1.175,1.5,0.79125,0.425,2.375,2.75,1.125,0.45,0.475,0.575,1.55,5.05,18.0325,2013,2,48,LAL
1165,Henry Ellenson,11.26,1.76,4.44,0.389,0.76,1.88,0.4014,1,2.56,0.3886,0.474,0.78,0.98,0.7722,0.26,2.88,3.14,0.62,0.2,0.06,0.44,0.96,5.04,23.738,2016,1,18,DET
1166,Tyler Ulis,14.26666667,2,5,0.269666667,0.3,1.133333333,0.184666667,1.7,3.866666667,0.293333333,0.290333333,0.7,0.866666667,0.535666667,0.2,0.9,1.133333333,2.7,0.6,0.066666667,1.033333333,0.966666667,5.033333333,14.22333333,2016,2,34,PHO
1167,Will Solomon,13.35,1.925,4.775,0.403,0.625,1.95,0.33025,1.275,2.85,0.44175,0.47075,0.55,0.775,0.68475,0.2,1.025,1.225,1.975,0.525,0.075,0.925,1.2,5.025,20.5,2001,2,33,MEM
1170,Shawne Williams,16.37777778,1.844444444,4.844444444,0.379888889,0.788888889,2.488888889,0.290555556,1.066666667,2.344444444,0.453555556,0.455666667,0.544444444,0.7,0.785777778,0.766666667,2.1,2.866666667,0.611111111,0.355555556,0.455555556,0.544444444,1.944444444,5.022222222,17.05222222,2006,1,17,IND
1172,Noah Vonleh,16.78571429,1.928571429,4.357142857,0.444857143,0.357142857,1.1,0.320857143,1.628571429,3.271428571,0.482428571,0.478714286,0.8,1.228571429,0.661571429,1.414285714,4.042857143,5.442857143,0.7,0.4,0.4,0.728571429,1.6,5.014285714,19.31714286,2014,1,9,CHH
1174,Rodney Carney,12.97142857,1.9,4.542857143,0.408,0.571428571,1.657142857,0.317714286,1.314285714,2.9,0.459571429,0.465428571,0.642857143,0.928571429,0.600714286,0.528571429,1.185714286,1.728571429,0.371428571,0.514285714,0.242857143,0.457142857,1.185714286,5,22.09571429,2006,1,16,CHI
1175,De'Anthony Melton,19.7,2,5.1,0.391,0.6,1.9,0.305,1.4,3.2,0.441,0.447,0.4,0.6,0.75,0.5,2.2,2.7,3.2,1.4,0.5,1.5,2.3,5,18.07,2018,2,46,HOU
1178,D.J. White,12.7125,2.1125,4.1125,0.455,0,0.0125,0.125,2.1125,4.0875,0.45625,0.455125,0.775,1.0875,0.6135,0.7625,1.9875,2.7875,0.4375,0.325,0.3875,0.3125,1.2125,5,21.095,2008,1,29,DET
1180,Terrance Ferguson,19.3,1.8,4.3,0.4215,1.05,2.95,0.3495,0.8,1.35,0.586,0.5425,0.3,0.45,0.8125,0.35,1,1.35,0.65,0.45,0.2,0.4,2.25,5,12.61,2017,1,21,OKC
1181,Álex Abrines,17.05,1.65,4.5,0.376,1.2,3.5,0.3515,0.45,0.95,0.4715,0.5135,0.45,0.5,0.8855,0.25,1.3,1.5,0.5,0.5,0.15,0.4,1.7,5,14.78,2013,2,32,OKC
1182,Derrick Byars,18.5,1.5,5.5,0.273,0,3,0,1.5,2.5,0.6,0.273,2,2,1,3,2.5,5.5,0.5,1,0,0,1,5,23.08,2007,2,42,POR
1184,Jarell Martin,14.5,1.85,4.3,0.42725,0.3,0.85,0.2645,1.575,3.45,0.4555,0.4675,1.025,1.35,0.77775,1,2.275,3.3,0.55,0.325,0.35,0.725,2.1,5,18.52,2015,1,25,MEM
1186,Keita Bates-Diop,16.8,2,4.7,0.423,0.4,1.7,0.25,1.6,3,0.522,0.468,0.6,0.9,0.643,0.5,2.2,2.8,0.6,0.6,0.5,0.5,1,5,17.75,2018,2,48,MIN
1192,Etan Thomas,15.4,1.866666667,3.722222222,0.504777778,0,0,0,1.866666667,3.722222222,0.504777778,0.504777778,1.211111111,1.988888889,0.623555556,1.433333333,2.677777778,4.1,0.277777778,0.277777778,0.9,0.855555556,1.922222222,4.977777778,18.68,2000,1,12,DAL
1193,Dragan Bender,18.83333333,1.833333333,4.633333333,0.395666667,0.866666667,2.8,0.287,0.966666667,1.833333333,0.532333333,0.484,0.433333333,0.7,0.574,0.566666667,3,3.6,1.1,0.3,0.533333333,0.966666667,1.9,4.966666667,14.66,2016,1,4,PHO
1195,Trenton Hassell,22.43636364,2.063636364,4.672727273,0.435909091,0.109090909,0.381818182,0.232181818,1.945454545,4.290909091,0.447090909,0.446090909,0.690909091,0.936363636,0.737727273,0.745454545,1.781818182,2.545454545,1.5,0.381818182,0.336363636,0.809090909,1.990909091,4.954545455,11.56454545,2001,2,30,CHI
1198,Jon Leuer,13.16,2.02,4.27,0.4868,0.2,0.66,0.1809,1.83,3.61,0.5163,0.5023,0.71,0.98,0.6768,0.82,2.24,3.05,0.62,0.3,0.2,0.62,1.4,4.95,19.73,2011,2,40,MIL
1201,Lester Hudson,10.75,1.7375,4.6875,0.363875,0.5125,1.8,0.336375,1.25,2.8875,0.380625,0.425375,0.9375,1.175,0.7655,0.2625,1.075,1.35,1.175,0.5875,0.125,1,0.85,4.9375,21.6875,2009,2,58,BOS
1202,Tyus Jones,17.3,1.825,4.45,0.41125,0.475,1.525,0.331,1.325,2.925,0.45575,0.4705,0.8,0.95,0.80075,0.225,1.275,1.5,3.275,1,0.1,0.725,1.025,4.925,20.5525,2015,1,24,CLE
1203,Dan Dickau,13.2,1.71,4.39,0.3631,0.52,1.51,0.3466,1.18,2.91,0.3637,0.4244,1,1.21,0.8093,0.24,0.92,1.13,2.09,0.51,0.03,0.96,1.53,4.92,18.193,2002,1,28,SAC
1205,Bismack Biyombo,20.0625,1.825,3.55,0.52875,0,0,0,1.825,3.55,0.529125,0.52875,1.2125,2.1625,0.569125,1.9375,4.275,6.2,0.4875,0.2625,1.3625,0.8875,2.1875,4.9125,17.63875,2011,1,7,SAC
1206,Quincy Pondexter,16.62222222,1.711111111,4.155555556,0.41,0.655555556,1.955555556,0.320888889,1.033333333,2.222222222,0.475111111,0.48,0.8,1.066666667,0.750666667,0.577777778,1.288888889,1.877777778,0.855555556,0.322222222,0.166666667,0.555555556,1.4,4.911111111,15.34,2010,1,26,OKC
1207,Donte DiVincenzo,15.2,1.9,4.6,0.403,0.8,3.1,0.265,1,1.5,0.683,0.492,0.3,0.4,0.75,0.6,1.8,2.4,1.1,0.5,0.2,0.7,1.4,4.9,18.23,2018,1,17,MIL
