,Year,Player,School,Team Selection
183,2001-02,Drew Gooden,Kansas,1st Team
184,2001-02,Jay Williams (2),Duke,1st Team
185,2001-02,Juan Dixon,Maryland,1st Team
186,2001-02,Steve Logan,Cincinnati,1st Team
187,2001-02,Casey Jacobsen (2),Stanford,2nd Team
188,2001-02,David West,Xavier,2nd Team
189,2001-02,Jared Jeffries,Indiana,2nd Team
190,2001-02,Mike Dunleavy,Duke,2nd Team
191,2001-02,Sam Clancy,Southern California,2nd Team
192,2000-01,Casey Jacobsen,Stanford,1st Team
193,2000-01,Jay Williams,Duke,1st Team
194,2000-01,Joseph Forte,North Carolina,1st Team
195,2000-01,Shane Battier (2),Duke,1st Team
196,2000-01,Troy Murphy (2),Notre Dame,1st Team
197,2000-01,Jamaal Tinsley,Iowa State,2nd Team
198,2000-01,Jason Richardson,Michigan State,2nd Team
199,2000-01,Michael Bradley,Villanova,2nd Team
200,2000-01,Tayshaun Prince,Kentucky,2nd Team
201,2000-01,Troy Bell,Boston College,2nd Team
202,1999-00,A.J. Guyton,Indiana,1st Team
203,1999-00,Chris Carrawell,Duke,1st Team
204,1999-00,Chris Mihm,Texas,1st Team
205,1999-00,Kenyon Martin,Cincinnati,1st Team
206,1999-00,Marcus Fizer,Iowa State,1st Team
207,1999-00,Troy Murphy,Notre Dame,1st Team
208,1999-00,Courtney Alexander,Fresno State,2nd Team
209,1999-00,Mateen Cleaves (3),Michigan State,2nd Team
210,1999-00,Morris Peterson,Michigan State,2nd Team
211,1999-00,Scoonie Penn,Ohio State,2nd Team
212,1999-00,Shane Battier,Duke,2nd Team
213,1999-00,Stromile Swift,Louisiana State,2nd Team
214,1998-99,Andre Miller,Utah,1st Team
215,1998-99,Elton Brand,Duke,1st Team
216,1998-99,Jason Terry,Arizona,1st Team
217,1998-99,Mateen Cleaves (2),Michigan State,1st Team
218,1998-99,Richard Hamilton (2),Connecticut,1st Team
219,1998-99,Chris Porter,Auburn,2nd Team
220,1998-99,Evan Eschmeyer,Northwestern,2nd Team
221,1998-99,Steve Francis,Maryland,2nd Team
222,1998-99,Trajan Langdon,Duke,2nd Team
223,1998-99,Wally Szczerbiak,Miami (OH),2nd Team
224,1997-98,Antawn Jamison (2),North Carolina,1st Team
225,1997-98,Mike Bibby,Arizona,1st Team
226,1997-98,Miles Simon,Arizona,1st Team
227,1997-98,Paul Pierce,Kansas,1st Team
228,1997-98,Raef LaFrentz (2),Kansas,1st Team
229,1997-98,Ansu Sesay,Mississippi,2nd Team
230,1997-98,Mateen Cleaves,Michigan State,2nd Team
231,1997-98,Pat Garrity,Notre Dame,2nd Team
232,1997-98,Richard Hamilton,Connecticut,2nd Team
233,1997-98,Vince Carter,North Carolina,2nd Team
234,1996-97,Danny Fortson (2),Cincinnati,1st Team
235,1996-97,Keith Van Horn (2),Utah,1st Team
236,1996-97,Raef LaFrentz,Kansas,1st Team
237,1996-97,Ron Mercer,Kentucky,1st Team
238,1996-97,Tim Duncan (2),Wake Forest,1st Team
239,1996-97,Antawn Jamison,North Carolina,2nd Team
240,1996-97,Bobby Jackson,Minnesota,2nd Team
241,1996-97,Brevin Knight,Stanford,2nd Team
242,1996-97,Chauncey Billups,Colorado,2nd Team
243,1996-97,Jacque Vaughn (2),Kansas,2nd Team
244,1995-96,Allen Iverson,Georgetown,1st Team
245,1995-96,Kerry Kittles (2),Villanova,1st Team
246,1995-96,Marcus Camby,Massachusetts,1st Team
247,1995-96,Ray Allen,Connecticut,1st Team
248,1995-96,Tim Duncan,Wake Forest,1st Team
249,1995-96,Tony Delk,Kentucky,1st Team
250,1995-96,Danny Fortson,Cincinnati,2nd Team
251,1995-96,Jacque Vaughn,Kansas,2nd Team
252,1995-96,John Wallace,Syracuse,2nd Team
253,1995-96,Keith Van Horn,Utah,2nd Team
254,1995-96,Lorenzen Wright,Memphis,2nd Team
255,1994-95,Damon Stoudamire,Arizona,1st Team
256,1994-95,Ed O'Bannon,UCLA,1st Team
257,1994-95,Jerry Stackhouse,North Carolina,1st Team
258,1994-95,Joe Smith,Maryland,1st Team
259,1994-95,Shawn Respert,Michigan State,1st Team
260,1994-95,Corliss Williamson (2),Arkansas,2nd Team
261,1994-95,Kerry Kittles,Villanova,2nd Team
262,1994-95,Lou Roe,Massachusetts,2nd Team
263,1994-95,Randolph Childress,Wake Forest,2nd Team
264,1994-95,Rasheed Wallace,North Carolina,2nd Team
265,1993-94,Clifford Rozier,Louisville,1st Team
266,1993-94,Donyell Marshall,Connecticut,1st Team
267,1993-94,Glenn Robinson (2),Purdue,1st Team
268,1993-94,Grant Hill (2),Duke,1st Team
269,1993-94,Jason Kidd,University of California,1st Team
270,1993-94,Corliss Williamson,Arkansas,2nd Team
271,1993-94,Eric Montross (2),North Carolina,2nd Team
272,1993-94,Jalen Rose,Michigan,2nd Team
273,1993-94,Khalid Reeves,Arizona,2nd Team
274,1993-94,Lamond Murray,University of California,2nd Team
275,1993-94,Melvin Booker,Missouri,2nd Team
276,1992-93,Anfernee Hardaway,Memphis,1st Team
277,1992-93,Bobby Hurley,Duke,1st Team
278,1992-93,Calbert Cheaney,Indiana,1st Team
279,1992-93,Chris Webber,Michigan,1st Team
280,1992-93,Jamal Mashburn,Kentucky,1st Team
281,1992-93,Billy Mccaffrey,Vanderbilt,2nd Team
282,1992-93,Eric Montross,North Carolina,2nd Team
283,1992-93,Glenn Robinson,Purdue,2nd Team
284,1992-93,Grant Hill,Duke,2nd Team
285,1992-93,Isaiah Rider,Nevada-Las Vegas,2nd Team
286,1992-93,Rodney Rogers,Wake Forest,2nd Team
287,1992-93,Terry Dehere,Seton Hall,2nd Team
288,1991-92,Alonzo Mourning (2),Georgetown,1st Team
289,1991-92,Christian Laettner (2),Duke,1st Team
290,1991-92,Harold Miner,Southern California,1st Team
291,1991-92,Jim Jackson (2),Ohio State,1st Team
292,1991-92,Shaquille O'Neal (2),Louisiana State,1st Team
293,1991-92,Anthony Peeler,Missouri,2nd Team
294,1991-92,Byron Houston,Oklahoma State,2nd Team
295,1991-92,Don MacLean,UCLA,2nd Team
296,1991-92,Malik Sealy,St. John's (NY),2nd Team
297,1991-92,Walt Williams,Maryland,2nd Team
