,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
1276,Derrick Brown,13.26,1.8,3.34,0.5524,0.12,0.26,0.4238,1.68,3.06,0.556,0.5774,0.88,1.48,0.5874,0.94,1.26,2.18,0.64,0.48,0.22,0.68,1.24,4.64,18.956
1277,Kyle Weaver,15.53333333,1.6,4.066666667,0.394333333,0.6,1.566666667,0.380333333,1,2.5,0.406333333,0.471333333,0.833333333,1.033333333,0.805,0.366666667,1.6,1.933333333,1.366666667,0.566666667,0.433333333,0.966666667,1.033333333,4.633333333,17.57333333
1278,Mickaël Gelabale,15.83333333,1.833333333,3.9,0.473,0.333333333,1,0.324666667,1.533333333,2.866666667,0.532666667,0.516333333,0.633333333,0.8,0.819333333,0.7,1.533333333,2.266666667,0.766666667,0.333333333,0.2,0.6,1.2,4.633333333,16.21
1279,Bo Kimble,10.13333333,1.833333333,4.566666667,0.4,0.2,0.766666667,0.283333333,1.6,3.8,0.428333333,0.424,0.8,1.233333333,0.597666667,0.466666667,0.9,1.333333333,0.766666667,0.3,0.1,0.766666667,1.566666667,4.633333333,21.79
1280,Darius Miller,17.44,1.58,4.02,0.3648,0.94,2.54,0.2988,0.66,1.5,0.4262,0.4578,0.46,0.56,0.6922,0.16,1.2,1.36,1.14,0.38,0.18,0.54,1.94,4.62,11.338
1281,Carl Thomas,12.01666667,1.866666667,4.466666667,0.4605,0.433333333,1.233333333,0.273166667,1.433333333,3.216666667,0.5095,0.510333333,0.466666667,0.766666667,0.659166667,0.166666667,0.516666667,0.683333333,0.55,0.45,0.15,0.45,1.066666667,4.616666667,20.27166667
1282,Bill Wennington,13.45555556,1.977777778,4.4,0.439555556,0,0.033333333,0.244444444,1.966666667,4.377777778,0.441555556,0.440111111,0.666666667,0.822222222,0.837,0.922222222,1.966666667,2.888888889,0.588888889,0.333333333,0.322222222,0.533333333,2.344444444,4.611111111,18.04777778
1283,Felton Spencer,17.17857143,1.671428571,3.3,0.506357143,0,0,0,1.671428571,3.3,0.506428571,0.506357143,1.278571429,1.964285714,0.580357143,2.028571429,2.807142857,4.807142857,0.342857143,0.321428571,0.657142857,0.964285714,2.95,4.607142857,15.50214286
1284,Chris Andersen,15.41764706,1.635294118,3.152941176,0.501,0.035294118,0.164705882,0.137235294,1.582352941,2.994117647,0.516470588,0.511,1.305882353,2.011764706,0.655882353,1.476470588,2.823529412,4.305882353,0.417647059,0.417647059,1.164705882,0.617647059,1.729411765,4.6,20.55705882
1285,Mike Woodson,12.55,1.875,5.6,0.33475,0.1,0.5,0.15075,1.8,5.15,0.352,0.34225,0.725,0.925,0.85,0.275,0.7,0.95,1.075,0.375,0.3,0.875,1.4,4.6,16.8925
1286,Festus Ezeli,14.03333333,1.766666667,3.4,0.511,0,0,0,1.766666667,3.4,0.511,0.511,1.066666667,1.866666667,0.563,1.7,2.633333333,4.333333333,0.4,0.3,0.966666667,0.766666667,1.9,4.6,21.21666667
1287,Jerome Harmon,15.8,2.1,5.3,0.396,0.1,0.1,1,2,5.2,0.385,0.406,0.3,0.6,0.5,0.9,1.4,2.3,1.2,0.9,0,0.7,1.2,4.6,17.96
1288,Bob Hansen,18.58,2.06,4.76,0.4348,0.28,1.12,0.233,1.76,3.64,0.4884,0.4594,0.22,0.48,0.3488,0.64,1.32,1.94,1.36,0.5,0.04,0.54,2.26,4.6,12.946
1289,Andrew White,13.9,1.7,4.9,0.342,1.2,3.3,0.367,0.5,1.6,0.292,0.466,0.1,0.3,0.25,0.3,2,2.3,0.4,0.2,0.1,0.5,0.8,4.6,17.16
1290,Hanno Möttölä,15.1,1.9,4.25,0.442,0,0.1,0.0385,1.85,4.15,0.451,0.4425,0.85,1.05,0.7805,0.85,2,2.85,0.45,0.2,0.15,0.9,2.15,4.6,13.87
1291,Jordan Williams,14.8,1.8,3.5,0.507,0,0,0,1.8,3.5,0.507,0.507,1,1.5,0.652,1.5,2.1,3.6,0.3,0.5,0.3,0.5,1.4,4.6,19.4
