,Lat,Long,School
266,39.5441917,-119.816397,Nevada
267,38.9869183,-76.9425543,Maryland
268,47.4910283,-117.5862361,Eastern Washington
269,35.9049122,-79.0469134,North Carolina
270,33.2140233,-87.5391418,Alabama
271,30.4132579,-91.1800023,Louisiana State
272,33.7756178,-84.39628499999999,Georgia Tech
273,36.1270236,-97.07372219999999,Oklahoma State
274,39.5441917,-119.816397,Nevada
275,42.3355488,-71.16849450000001,Boston College
276,30.2849185,-97.7340567,Texas
277,40.0068363,-83.0306222,Ohio State
278,29.6436325,-82.3549302,Florida
279,44.0448302,-123.0726055,Oregon
280,41.9247559,-87.6566465,DePaul
281,40.0068363,-83.0306222,Ohio State
282,36.1447034,-86.8026551,Vanderbilt
283,29.6436325,-82.3549302,Florida
284,31.8742035,-91.13729239999999,Alcorn State
285,30.618531,-96.33649899999999,Texas A&M
286,41.7224565,-73.9341204,Marist
287,40.4443533,-79.960835,Pittsburgh
288,38.9076089,-77.07225849999999,Georgetown
289,29.6436325,-82.3549302,Florida
290,47.4906921,-111.2707539,Providence
291,41.6626963,-91.5548998,Iowa
292,38.6487895,-90.31079620000001,Washington
293,38.9543439,-95.2557961,Kansas
294,39.6361396,-79.95593579999999,West Virginia
295,44.0448302,-123.0726055,Oregon
296,37.3641651,-120.4254615,University of California
297,39.7738832,-86.1763393,IUPUI
298,33.2140233,-87.5391418,Alabama
299,35.7846633,-78.6820946,North Carolina State
300,38.9076089,-77.07225849999999,Georgetown
301,34.068921,-118.4451811,UCLA
302,37.4274745,-122.169719,Stanford
303,37.4274745,-122.169719,Stanford
304,44.0448302,-123.0726055,Oregon
305,34.0223519,-118.285117,Southern California
306,38.9543439,-95.2557961,Kansas
307,30.618531,-96.33649899999999,Texas A&M
308,36.9853543,-86.456138,Western Kentucky
309,40.0068363,-83.0306222,Ohio State
310,39.1754487,-86.512627,Indiana
311,38.0306511,-84.5039697,Kentucky
312,37.0228392,-76.3343603,Hampton
313,38.2122761,-85.75850229999999,Louisville
314,38.9543439,-95.2557961,Kansas
315,35.0843187,-106.6197812,New Mexico
316,38.9869183,-76.9425543,Maryland
317,39.1754487,-86.512627,Indiana
318,35.118741,-89.937141,Memphis
319,35.118741,-89.937141,Memphis
320,36.1447034,-86.8026551,Vanderbilt
321,42.2780436,-83.7382241,Michigan
322,36.0686895,-94.1748471,Arkansas
323,46.7319225,-117.1542121,Washington State
324,39.1754487,-86.512627,Indiana
325,34.068921,-118.4451811,UCLA
326,39.1974437,-96.5847249,Kansas State
327,37.22838429999999,-80.42341669999999,Virginia Tech
328,29.6436325,-82.3549302,Florida
329,40.279623,-74.738187,Rider
330,36.0686895,-94.1748471,Arkansas
331,30.2849185,-97.7340567,Texas
332,32.2318851,-110.9501094,Arizona
333,39.1974437,-96.5847249,Kansas State
334,39.3126142,-76.65790559999999,Coppin State
335,39.5441917,-119.816397,Nevada
336,33.5021227,-86.8064447,Alabama-Birmingham
337,38.0335529,-78.5079772,Virginia
338,30.4132579,-91.1800023,Louisiana State
339,40.2518435,-111.6493156,Brigham Young
340,38.9543439,-95.2557961,Kansas
341,35.118741,-89.937141,Memphis
342,35.9049122,-79.0469134,North Carolina
343,36.8124451,-119.7457805,Fresno State
344,34.0223519,-118.285117,Southern California
345,35.9049122,-79.0469134,North Carolina
346,33.4242399,-111.9280527,Arizona State
