,Lat,Long,School
191,33.4242399,-111.9280527,Arizona State University
192,43.038473,-87.93044549999999,Marquette University
193,34.068921,-118.4451811,UCLA University
194,40.4443533,-79.960835,Pittsburgh University
195,41.8077414,-72.2539805,Connecticut University
196,30.4418778,-84.2984889,Florida State University
197,47.66644729999999,-117.4015208,Gonzaga University
198,38.9543439,-95.2557961,Kansas University
199,32.2318851,-110.9501094,Arizona University
200,30.4132579,-91.1800023,Louisiana State University
201,34.0414045,-118.7095814,Pepperdine University
202,43.0391534,-76.1351158,Syracuse University
203,30.618531,-96.33649899999999,Texas A&M University
204,39.1754487,-86.512627,Indiana University
205,40.1019523,-88.2271615,Illinois University
206,35.9049122,-79.0469134,North Carolina University
207,35.9049122,-79.0469134,North Carolina University
208,39.1329219,-84.51495039999999,Cincinnati University
209,33.4551742,-88.79437659999999,Mississippi State University
210,38.6487895,-90.31079620000001,Washington University
211,36.1340985,-80.2778951,Wake Forest University
212,34.068921,-118.4451811,UCLA University
213,30.2849185,-97.7340567,Texas University
214,41.8077414,-72.2539805,Connecticut University
215,40.037056,-75.34358,Villanova University
216,28.0587031,-82.41385389999999,South Florida University
217,30.4418778,-84.2984889,Florida State University
218,35.118741,-89.937141,Memphis University
219,39.9811935,-75.1553512,Temple University
220,42.0266187,-93.6464654,Iowa State University
221,41.8077414,-72.2539805,Connecticut University
222,42.701848,-84.4821719,Michigan State University
223,41.8077414,-72.2539805,Connecticut University
224,36.0686895,-94.1748471,Arkansas University
225,34.068921,-118.4451811,UCLA University
226,40.037056,-75.34358,Villanova University
227,40.5008186,-74.44739910000001,Rutgers University
228,30.2849185,-97.7340567,Texas University
229,30.4132579,-91.1800023,Louisiana State University
230,42.3355488,-71.16849450000001,Boston College University
231,33.9937575,-81.0299186,South Carolina University
232,40.1019523,-88.2271615,Illinois University
233,42.701848,-84.4821719,Michigan State University
234,30.2849185,-97.7340567,Texas University
235,32.2318851,-110.9501094,Arizona University
236,41.8077414,-72.2539805,Connecticut University
237,36.0014258,-78.9382286,Duke University
238,35.118741,-89.937141,Memphis University
239,47.66644729999999,-117.4015208,Gonzaga University
240,40.6977743,-89.6153484,Bradley University
241,43.038473,-87.93044549999999,Marquette University
242,32.5263753,-92.6481104,Louisiana Tech University
243,38.0306511,-84.5039697,Kentucky University
244,38.6487895,-90.31079620000001,Washington University
245,35.7846633,-78.6820946,North Carolina State University
246,38.8997145,-77.0485992,George Washington University
247,36.0014258,-78.9382286,Duke University
248,37.3641651,-120.4254615,University of California University
249,29.7173941,-95.40183119999999,Rice University
250,34.068921,-118.4451811,UCLA University
251,43.0391534,-76.1351158,Syracuse University
252,29.6436325,-82.3549302,Florida University
253,40.0068363,-83.0306222,Ohio State University
254,38.0335529,-78.5079772,Virginia University
255,29.6436325,-82.3549302,Florida University
256,34.0223519,-118.285117,Southern California University
257,36.0014258,-78.9382286,Duke University
258,36.8124451,-119.7457805,Fresno State University
259,41.9247559,-87.6566465,DePaul University
260,30.4418778,-84.2984889,Florida State University
261,43.076592,-89.4124875,Wisconsin University
262,33.7756178,-84.39628499999999,Georgia Tech University
263,34.0223519,-118.285117,Southern California University
264,35.9049122,-79.0469134,North Carolina University
265,38.9543439,-95.2557961,Kansas University
266,39.5441917,-119.816397,Nevada University
267,38.9869183,-76.9425543,Maryland University
268,47.4910283,-117.5862361,Eastern Washington University
269,35.9049122,-79.0469134,North Carolina University
270,33.2140233,-87.5391418,Alabama University
271,30.4132579,-91.1800023,Louisiana State University
272,33.7756178,-84.39628499999999,Georgia Tech University
273,36.1270236,-97.07372219999999,Oklahoma State University
274,39.5441917,-119.816397,Nevada University
275,42.3355488,-71.16849450000001,Boston College University
276,30.2849185,-97.7340567,Texas University
277,40.0068363,-83.0306222,Ohio State University
278,29.6436325,-82.3549302,Florida University
279,44.0448302,-123.0726055,Oregon University
280,41.9247559,-87.6566465,DePaul University
281,40.0068363,-83.0306222,Ohio State University
282,36.1447034,-86.8026551,Vanderbilt University
283,29.6436325,-82.3549302,Florida University
284,31.8742035,-91.13729239999999,Alcorn State University
285,30.618531,-96.33649899999999,Texas A&M University
286,41.7224565,-73.9341204,Marist University
287,40.4443533,-79.960835,Pittsburgh University
288,38.9076089,-77.07225849999999,Georgetown University
289,29.6436325,-82.3549302,Florida University
290,47.4906921,-111.2707539,Providence University
291,41.6626963,-91.5548998,Iowa University
292,38.6487895,-90.31079620000001,Washington University
293,38.9543439,-95.2557961,Kansas University
294,39.6361396,-79.95593579999999,West Virginia University
295,44.0448302,-123.0726055,Oregon University
296,37.3641651,-120.4254615,University of California University
297,39.7738832,-86.1763393,IUPUI University
298,33.2140233,-87.5391418,Alabama University
299,35.7846633,-78.6820946,North Carolina State University
300,38.9076089,-77.07225849999999,Georgetown University
301,34.068921,-118.4451811,UCLA University
302,37.4274745,-122.169719,Stanford University
303,37.4274745,-122.169719,Stanford University
304,44.0448302,-123.0726055,Oregon University
305,34.0223519,-118.285117,Southern California University
306,38.9543439,-95.2557961,Kansas University
307,30.618531,-96.33649899999999,Texas A&M University
308,36.9853543,-86.456138,Western Kentucky University
309,40.0068363,-83.0306222,Ohio State University
310,39.1754487,-86.512627,Indiana University
311,38.0306511,-84.5039697,Kentucky University
312,37.0228392,-76.3343603,Hampton University
313,38.2122761,-85.75850229999999,Louisville University
314,38.9543439,-95.2557961,Kansas University
315,35.0843187,-106.6197812,New Mexico University
316,38.9869183,-76.9425543,Maryland University
317,39.1754487,-86.512627,Indiana University
318,35.118741,-89.937141,Memphis University
319,35.118741,-89.937141,Memphis University
320,36.1447034,-86.8026551,Vanderbilt University
321,42.2780436,-83.7382241,Michigan University
322,36.0686895,-94.1748471,Arkansas University
323,46.7319225,-117.1542121,Washington State University
324,39.1754487,-86.512627,Indiana University
325,34.068921,-118.4451811,UCLA University
326,39.1974437,-96.5847249,Kansas State University
327,37.22838429999999,-80.42341669999999,Virginia Tech University
328,29.6436325,-82.3549302,Florida University
329,40.279623,-74.738187,Rider University
330,36.0686895,-94.1748471,Arkansas University
331,30.2849185,-97.7340567,Texas University
332,32.2318851,-110.9501094,Arizona University
333,39.1974437,-96.5847249,Kansas State University
334,39.3126142,-76.65790559999999,Coppin State University
335,39.5441917,-119.816397,Nevada University
336,33.5021227,-86.8064447,Alabama-Birmingham University
337,38.0335529,-78.5079772,Virginia University
338,30.4132579,-91.1800023,Louisiana State University
339,40.2518435,-111.6493156,Brigham Young University
340,38.9543439,-95.2557961,Kansas University
341,35.118741,-89.937141,Memphis University
342,35.9049122,-79.0469134,North Carolina University
343,36.8124451,-119.7457805,Fresno State University
344,34.0223519,-118.285117,Southern California University
345,35.9049122,-79.0469134,North Carolina University
346,33.4242399,-111.9280527,Arizona State University
347,41.7055716,-86.2353388,Notre Dame University
348,35.2058936,-97.4457137,Oklahoma University
349,35.2058936,-97.4457137,Oklahoma University
350,35.118741,-89.937141,Memphis University
351,36.9853543,-86.456138,Western Kentucky University
352,39.6361396,-79.95593579999999,West Virginia University
353,30.618531,-96.33649899999999,Texas A&M University
354,35.9049122,-79.0469134,North Carolina University
355,37.4274745,-122.169719,Stanford University
356,43.0391534,-76.1351158,Syracuse University
357,39.5441917,-119.816397,Nevada University
358,37.1382689,-80.5506221,Radford University
359,30.2849185,-97.7340567,Texas University
360,36.1519879,-95.946,Tulsa University
