",,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced"
"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"64,2018,NBA,1,4,MEM,Jaren Jackson\jacksja02,18.284,F,us,Michigan State University,2019,2019,58,26.1,13.8,4.7,1.1,0.9,1.4,.506,.553,.359,.766,3.3,.105"
"65,2018,NBA,1,5,DAL,Trae Young\youngtr01,19.280,G,us,University of Oklahoma,2019,2019,81,30.9,19.1,3.7,8.1,0.9,0.2,.418,.477,.324,.829,3.3,.062"
"66,2018,NBA,1,6,ORL,Mohamed Bamba\bambamo01,20.045,C,us,University of Texas at Austin,2019,2019,47,16.3,6.2,5.0,0.8,0.3,1.4,.481,.555,.300,.587,1.7,.106"
"67,2018,NBA,1,7,CHI,Wendell Carter\cartewe01,19.071,C,us,Duke University,2019,2019,44,25.2,10.3,7.0,1.8,0.6,1.3,.485,.513,.188,.795,1.9,.080"
"68,2018,NBA,1,8,CLE,Collin Sexton\sextoco01,19.173,G,us,University of Alabama,2019,2019,82,31.8,16.7,2.9,3.0,0.5,0.1,.430,.440,.402,.839,-0.6,-0.011"
"69,2018,NBA,1,9,NYK,Kevin Knox\knoxke01,18.319,F,us,University of Kentucky,2019,2019,75,28.8,12.8,4.5,1.1,0.6,0.3,.370,.387,.343,.717,-1.3,-0.030"
"70,2018,NBA,1,10,PHI,Mikal Bridges\bridgmi01,21.300,G,us,Villanova University,2019,2019,82,29.5,8.3,3.2,2.1,1.6,0.5,.430,.548,.335,.805,2.9,.058"
"71,2018,NBA,1,11,CHO,Shai Gilgeous-Alexander\gilgesh01,19.349,G,ca,University of Kentucky,2019,2019,82,26.5,10.8,2.8,3.3,1.2,0.5,.476,.503,.367,.800,3.3,.074"
"72,2018,NBA,1,12,LAC,Miles Bridges\bridgmi02,20.097,G-F,us,Michigan State University,2019,2019,80,21.2,7.5,4.0,1.2,0.7,0.6,.464,.553,.325,.753,2.9,.083"
"73,2018,NBA,1,13,LAC,Jerome Robinson\robinje01,21.124,G,us,Boston College,2019,2019,33,9.7,3.4,1.2,0.6,0.3,0.1,.400,.491,.316,.667,0.1,.012"
"74,2018,NBA,1,14,DEN,Michael Porter\portemi01,19.362,F,us,University of Missouri,,,,,,,,,,,,,,,"
"75,2018,NBA,1,15,WAS,Troy Brown\browntr01,18.333,G-F,us,University of Oregon,2019,2019,52,14.0,4.8,2.8,1.5,0.4,0.1,.415,.455,.319,.681,0.6,.039"
"76,2018,NBA,1,16,PHO,Zhaire Smith\smithzh01,19.022,G,us,Texas Tech University,2019,2019,6,18.5,6.7,2.2,1.7,0.3,0.3,.412,.444,.375,.750,0.1,.048"
"77,2018,NBA,1,17,MIL,Donte DiVincenzo\divindo01,21.146,G,us,Villanova University,2019,2019,27,15.2,4.9,2.4,1.1,0.5,0.2,.403,.683,.265,.750,0.6,.069"
"78,2018,NBA,1,18,SAS,Lonnie Walker\walkelo01,19.194,G,us,University of Miami,2019,2019,17,6.9,2.6,1.0,0.5,0.4,0.2,.348,.333,.385,.800,0.0,.019"
"79,2018,NBA,1,19,ATL,Kevin Huerter\huertke01,19.303,G,us,University of Maryland,2019,2019,75,27.3,9.7,3.3,2.9,0.9,0.3,.419,.457,.385,.732,1.5,.034"
"80,2018,NBA,1,20,MIN,Josh Okogie\okogijo01,19.298,G,ng,Georgia Institute of Technology,2019,2019,74,23.7,7.7,2.9,1.2,1.2,0.4,.386,.464,.279,.728,1.2,.034"
"81,2018,NBA,1,21,UTA,Grayson Allen\allengr01,22.262,G,us,Duke University,2019,2019,38,10.9,5.6,0.6,0.7,0.2,0.2,.376,.443,.323,.750,0.0,.002"
"82,2018,NBA,1,22,CHI,Chandler Hutchison\hutchch01,22.061,G,us,Boise State University,2019,2019,44,20.3,5.2,4.2,0.8,0.5,0.1,.459,.516,.280,.605,0.6,.030"
"83,2018,NBA,1,23,IND,Aaron Holiday\holidaa01,21.269,G,us,University of California Los Angeles,2019,2019,50,12.9,5.9,1.3,1.7,0.4,0.3,.401,.459,.339,.820,0.9,.065"
"84,2018,NBA,1,24,POR,Anfernee Simons\simonan01,19.018,G,us,,2019,2019,20,7.1,3.8,0.7,0.7,0.1,0.0,.444,.529,.345,.563,0.1,.020"
"85,2018,NBA,1,25,LAL,Moritz Wagner\wagnemo01,21.061,F-C,de,University of Michigan,2019,2019,43,10.4,4.8,2.0,0.6,0.3,0.3,.415,.521,.286,.811,0.2,.020"
"86,2018,NBA,1,26,PHI,Landry Shamet\shamela01,21.105,G,us,Wichita State University,2019,2019,79,22.8,9.1,1.7,1.5,0.5,0.1,.431,.453,.422,.806,3.6,.095"
"87,2018,NBA,1,27,BOS,Robert Williams\williro04,20.252,F,us,Texas A&M University,2019,2019,32,8.8,2.5,2.5,0.2,0.3,1.3,.706,.706,,.600,1.2,.201"
"88,2018,NBA,1,28,GSW,Jacob Evans\evansja02,21.008,G-F,us,University of Cincinnati,2019,2019,30,6.8,1.3,0.8,0.8,0.2,0.1,.340,.368,.267,.000,-0.1,-0.030"
"89,2018,NBA,1,29,BRK,Džanan Musa\musadz01,19.049,G-F,ba,,2019,2019,9,4.3,2.1,0.6,0.2,0.2,0.0,.409,.667,.100,.000,-0.1,-0.152"
"90,2018,NBA,1,30,ATL,Omari Spellman\spellom01,20.340,F,us,Villanova University,2019,2019,46,17.5,5.9,4.2,1.0,0.6,0.5,.402,.466,.344,.711,1.2,.070"
"91,2018,NBA,2,31,PHO,Élie Okobo\okoboel01,20.246,G,fr,,2019,2019,53,18.1,5.7,1.8,2.4,0.6,0.1,.393,.475,.295,.787,-0.5,-0.027"
"92,2018,NBA,2,32,MEM,Jevon Carter\carteje01,22.286,G,us,West Virginia University,2019,2019,39,14.8,4.4,1.7,1.8,0.7,0.3,.303,.265,.333,.813,0.0,-0.003"
"93,2018,NBA,2,33,DAL,Jalen Brunson\brunsja01,21.299,G,us,Villanova University,2019,2019,73,21.8,9.3,2.3,3.2,0.5,0.1,.467,.523,.348,.725,2.6,.077"
"94,2018,NBA,2,34,ATL,Devonte' Graham\grahade01,23.125,G,us,University of Kansas,2019,2019,46,14.7,4.7,1.4,2.6,0.5,0.0,.343,.421,.281,.761,0.5,.035"
"95,2018,NBA,2,35,ORL,Melvin Frazier\frazime01,21.300,G,us,Tulane University,2019,2019,10,4.4,1.5,0.5,0.1,0.1,0.0,.333,.467,.000,.250,-0.1,-0.133"
"96,2018,NBA,2,36,NYK,Mitchell Robinson\robinmi01,20.086,C,us,,2019,2019,66,20.6,7.3,6.4,0.6,0.8,2.4,.694,.694,,.600,6.1,.217"
"97,2018,NBA,2,37,SAC,Gary Trent\trentga02,19.159,G,us,Duke University,2019,2019,15,7.4,2.7,0.7,0.3,0.1,0.1,.320,.379,.238,.429,-0.2,-0.092"
"98,2018,NBA,2,38,PHI,Khyri Thomas\thomakh01,22.049,G,us,Creighton University,2019,2019,26,7.5,2.3,0.8,0.3,0.3,0.2,.319,.353,.286,.636,0.0,.005"
"99,2018,NBA,2,39,PHI,Isaac Bonga\bongais01,18.230,G,de,,2019,2019,22,5.5,0.9,1.1,0.7,0.4,0.2,.152,.200,.000,.600,-0.1,-0.059"
"100,2018,NBA,2,40,BRK,Rodions Kurucs\kurucro01,20.141,F,lv,,2019,2019,63,20.5,8.5,3.9,0.8,0.7,0.4,.450,.543,.315,.783,1.6,.059"
"101,2018,NBA,2,41,ORL,Jarred Vanderbilt\vandeja01,19.084,F,us,University of Kentucky,2019,2019,17,4.1,1.4,1.4,0.2,0.4,0.1,.474,.500,.000,.600,0.1,.037"
