",,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced"
"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"808,2006,NBA,1,28,DAL,Maurice Ager\agerma01,22.145,G,us,Michigan State University,2007,2011,82,6.2,2.1,0.6,0.2,0.1,0.1,.339,.366,.250,.566,-0.9,-0.089"
"809,2006,NBA,1,29,NYK,Mardy Collins\collima01,21.333,G,us,Temple University,2007,2010,189,14.7,3.9,1.8,1.7,0.6,0.1,.380,.396,.299,.599,-1.6,-0.027"
"810,2006,NBA,1,30,POR,Joel Freeland\freeljo01,19.146,F-C,gb,,2013,2015,151,12.1,3.2,3.4,0.4,0.2,0.4,.459,.461,.000,.728,3.2,.084"
"811,2006,NBA,2,31,POR,James White\whiteja02,23.256,G-F,us,University of Cincinnati,2007,2013,67,8.7,2.7,1.0,0.5,0.3,0.1,.438,.482,.340,.676,0.8,.062"
"812,2006,NBA,2,32,HOU,Steve Novak\novakst01,23.021,F,us,Marquette University,2007,2017,467,12.1,4.7,1.3,0.3,0.2,0.1,.437,.463,.430,.877,14.5,.123"
"813,2006,NBA,2,33,ATL,Solomon Jones\jonesso01,21.352,F,us,University of South Florida,2007,2014,281,11.0,3.0,2.3,0.4,0.2,0.5,.467,.472,.111,.717,5.0,.078"
"814,2006,NBA,2,34,LAC,Paul Davis\davispa01,21.347,C,us,Michigan State University,2007,2010,82,8.6,2.6,1.9,0.4,0.3,0.2,.402,.404,.000,.732,0.5,.035"
"815,2006,NBA,2,35,TOR,P.J. Tucker\tuckepj01,21.059,F,us,University of Texas at Austin,2007,2019,582,28.7,7.4,5.7,1.4,1.2,0.3,.422,.469,.361,.744,30.0,.086"
"816,2006,NBA,2,36,MIN,Craig Smith\smithcr01,22.236,F,us,Boston College,2007,2012,403,16.9,7.6,3.9,0.8,0.5,0.2,.553,.560,.037,.661,16.0,.113"
"817,2006,NBA,2,37,MIN,Bobby Jones\jonesbo02,22.176,F,us,University of Washington,2007,2008,91,9.5,3.2,1.6,0.5,0.3,0.0,.442,.491,.306,.685,1.1,.060"
"818,2006,NBA,2,38,GSW,Kosta Perovi?\perovko01,21.134,C,hr,,2008,2008,7,5.4,1.4,1.9,0.1,0.0,0.3,.300,.300,,.667,0.0,.060"
"819,2006,NBA,2,39,MIL,David Noel\noelda01,22.127,F,us,University of North Carolina,2007,2007,68,11.6,2.7,1.8,1.0,0.4,0.1,.367,.387,.321,.860,0.4,.024"
"820,2006,NBA,2,40,SEA,Denham Brown,,,,University of Connecticut,,,,,,,,,,,,,,,"
"821,2006,NBA,2,41,ORL,James Augustine\augusja01,22.127,F,us,University of Illinois at Urbana-Champaign,2007,2008,27,5.8,1.6,1.2,0.1,0.2,0.1,.514,.514,,.500,0.3,.101"
"822,2006,NBA,2,42,CLE,Daniel Gibson\gibsoda01,20.126,G,us,University of Texas at Austin,2007,2013,397,23.5,7.8,2.0,2.0,0.6,0.2,.402,.397,.407,.780,16.0,.082"
"823,2006,NBA,2,43,NOK,Marcus Vinicius\vincima01,22.033,F,br,,2007,2008,26,6.6,1.9,0.7,0.3,0.1,0.1,.457,.500,.421,.556,0.2,.056"
"824,2006,NBA,2,44,ORL,Lior Eliyahu\eliyali01,20.297,F,il,,,,,,,,,,,,,,,,"
"825,2006,NBA,2,45,IND,Alexander Johnson\johnsal01,23.146,F,us,Florida State University,2007,2008,102,12.8,4.3,2.7,0.3,0.4,0.4,.517,.517,,.672,1.5,.056"
"826,2006,NBA,2,46,UTA,Dee Brown\brownde03,21.320,G,us,University of Illinois at Urbana-Champaign,2007,2009,68,10.5,2.1,1.0,1.8,0.5,0.1,.340,.389,.250,.643,0.1,.008"
"827,2006,NBA,2,47,UTA,Paul Millsap\millspa01,21.143,F,us,Louisiana Tech University,2007,2019,945,29.3,14.1,7.4,2.3,1.3,1.0,.491,.513,.334,.734,88.2,.153"
"828,2006,NBA,2,48,WAS,Vladimir Veremeenko\veremvl01,21.347,F,by,,,,,,,,,,,,,,,,"
"829,2006,NBA,2,49,DEN,Leon Powe\powele01,22.163,F,us,University of California,2007,2011,239,13.9,6.2,3.8,0.3,0.3,0.3,.515,.517,.000,.682,12.0,.174"
"830,2006,NBA,2,50,CHA,Ryan Hollins\holliry01,21.266,C,us,University of California Los Angeles,2007,2016,518,11.8,3.7,2.2,0.3,0.2,0.5,.584,.584,.000,.649,10.4,.081"
"831,2006,NBA,2,51,LAL,Cheikh Samb\sambch01,21.254,C,sn,,2008,2009,22,5.2,1.0,1.4,0.0,0.2,0.5,.250,.273,.000,.444,-0.1,-0.056"
"832,2006,NBA,2,52,LAC,Guillermo Díaz\diazgu01,21.121,G,pr,University of Miami,2008,2008,6,3.0,0.8,0.3,0.2,0.0,0.0,.250,.333,.000,.600,0.0,.033"
"833,2006,NBA,2,53,SEA,Yotam Halperin\halpeyo01,22.161,G,il,,,,,,,,,,,,,,,,"
"834,2006,NBA,2,54,NJN,Hassan Adams\adamsha01,22.013,G,us,University of Arizona,2007,2009,73,7.5,2.5,1.2,0.2,0.2,0.1,.534,.537,.000,.643,0.8,.072"
"835,2006,NBA,2,55,CLE,Ejike Ugboaja\ugboaej01,21.036,F,ng,,,,,,,,,,,,,,,,"
"836,2006,NBA,2,56,TOR,Edin Bav?i?\bavcied01,22.028,C-F,ba,,,,,,,,,,,,,,,,"
"837,2006,NBA,2,57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,,"
"838,2006,NBA,2,58,DAL,J.R. Pinnock,,,,George Washington University,,,,,,,,,,,,,,,"
"839,2006,NBA,2,59,SAS,Damir Markota\markoda01,20.189,C,ba,,2007,2007,30,5.7,1.7,1.0,0.2,0.1,0.0,.365,.361,.375,.636,-0.2,-0.070"
"840,2006,NBA,2,60,DET,Will Blalock\blalowi01,22.299,G,us,Iowa State University,2007,2007,14,11.9,1.8,1.1,1.2,0.4,0.0,.300,.320,.200,1.000,-0.1,-0.032"
"841,2005,NBA,1,1,MIL,Andrew Bogut\bogutan01,20.217,C,au,University of Utah,2006,2019,706,28.1,9.6,8.7,2.2,0.6,1.5,.535,.537,.120,.557,50.6,.122"
"842,2005,NBA,1,2,ATL,Marvin Williams\willima02,19.014,F,us,University of North Carolina,2006,2019,1014,28.6,10.5,5.3,1.3,0.8,0.5,.443,.480,.362,.807,62.7,.104"
"843,2005,NBA,1,3,UTA,Deron Williams\willide01,21.007,G,us,University of Illinois at Urbana-Champaign,2006,2017,845,34.2,16.3,3.1,8.1,1.0,0.2,.445,.482,.357,.822,77.3,.129"
"844,2005,NBA,1,4,NOH,Chris Paul\paulch01,20.058,G,us,Wake Forest University,2006,2019,950,35.1,18.5,4.5,9.7,2.2,0.1,.469,.504,.370,.868,171.5,.247"
"845,2005,NBA,1,5,CHA,Raymond Felton\feltora01,21.007,G,us,University of North Carolina,2006,2019,971,29.7,11.2,3.0,5.2,1.2,0.2,.412,.445,.329,.790,40.2,.067"
"846,2005,NBA,1,6,POR,Martell Webster\webstma02,18.211,G-F,us,,2006,2015,580,24.0,8.7,3.1,1.0,0.5,0.3,.418,.454,.382,.791,24.7,.085"
"847,2005,NBA,1,7,TOR,Charlie Villanueva\villach01,20.313,F,us,University of Connecticut,2006,2016,656,20.7,10.4,4.6,0.8,0.5,0.5,.435,.484,.341,.772,22.6,.080"
"848,2005,NBA,1,8,NYK,Channing Frye\fryech01,22.048,C-F,us,University of Arizona,2006,2019,890,22.2,8.7,4.5,1.0,0.5,0.6,.440,.477,.388,.822,38.9,.094"
"849,2005,NBA,1,9,GSW,Ike Diogu\dioguik01,21.296,F,us,Arizona State University,2006,2012,225,12.4,6.0,3.1,0.3,0.2,0.3,.509,.509,.500,.786,6.5,.112"
"850,2005,NBA,1,10,LAL,Andrew Bynum\bynuman01,17.249,C,us,,2006,2014,418,25.6,11.5,7.7,1.2,0.3,1.6,.556,.557,.111,.690,37.4,.168"
"851,2005,NBA,1,11,ORL,Fran Vázquez\vazqufr01,22.064,,es,,,,,,,,,,,,,,,,"
"852,2005,NBA,1,12,LAC,Yaroslav Korolev\korolya01,18.057,F,ru,,2006,2007,34,4.9,1.1,0.5,0.4,0.2,0.0,.283,.294,.250,.625,-0.1,-0.024"
"853,2005,NBA,1,13,CHA,Sean May\mayse01,21.090,F,us,University of North Carolina,2006,2010,119,15.7,6.9,4.0,1.0,0.4,0.4,.458,.462,.231,.746,2.6,.068"
"854,2005,NBA,1,14,MIN,Rashad McCants\mccanra01,20.281,G,us,University of North Carolina,2006,2009,249,20.2,10.0,2.0,1.3,0.7,0.2,.431,.467,.368,.741,3.6,.035"
"855,2005,NBA,1,15,NJN,Antoine Wright\wrighan01,21.148,G-F,us,Texas A&M University,2006,2011,297,19.2,5.4,2.3,1.0,0.5,0.2,.412,.467,.304,.674,3.1,.026"
"856,2005,NBA,1,16,TOR,Joey Graham\grahajo01,23.023,F,us,Oklahoma State University,2006,2011,377,16.2,5.9,2.8,0.5,0.4,0.1,.483,.503,.300,.815,7.8,.061"
"857,2005,NBA,1,17,IND,Danny Granger\grangda01,22.075,F,us,University of New Mexico,2006,2015,586,31.5,16.8,4.9,1.9,1.0,0.8,.434,.463,.380,.848,48.5,.126"
"858,2005,NBA,1,18,BOS,Gerald Green\greenge01,19.158,G-F,us,,2006,2019,658,19.8,9.7,2.5,0.9,0.5,0.3,.417,.469,.361,.818,18.4,.068"
"859,2005,NBA,1,19,MEM,Hakim Warrick\warriha01,22.361,F,us,Syracuse University,2006,2013,526,20.2,9.4,4.0,0.8,0.4,0.3,.490,.499,.191,.726,20.4,.092"
"860,2005,NBA,1,20,DEN,Julius Hodge\hodgeju01,21.228,G,us,North Carolina State University,2006,2007,23,4.3,1.2,0.7,0.8,0.3,0.0,.440,.440,,.500,0.0,.003"
"861,2005,NBA,1,21,PHO,Nate Robinson\robinna01,21.033,G,us,University of Washington,2006,2016,618,22.5,11.0,2.3,3.0,0.9,0.1,.423,.463,.360,.796,27.8,.096"
"862,2005,NBA,1,22,DEN,Jarrett Jack\jackja01,21.249,G,us,Georgia Institute of Technology,2006,2018,867,27.8,10.8,2.9,4.6,0.8,0.1,.440,.470,.343,.855,36.8,.073"
"863,2005,NBA,1,23,SAC,Francisco García\garcifr01,23.185,F-G,do,University of Louisville,2006,2015,549,21.6,7.9,2.6,1.4,0.8,0.7,.427,.484,.357,.799,18.2,.074"
"864,2005,NBA,1,24,HOU,Luther Head\headlu01,22.220,G,us,University of Illinois at Urbana-Champaign,2006,2011,348,22.4,8.2,2.4,2.1,0.7,0.1,.423,.454,.388,.773,14.7,.090"
"865,2005,NBA,1,25,SEA,Johan Petro\petrojo01,19.157,C,fr,,2006,2013,473,15.4,4.7,3.9,0.5,0.4,0.5,.462,.464,.154,.678,5.5,.037"
"866,2005,NBA,1,26,DET,Jason Maxiell\maxieja01,22.136,F,us,University of Cincinnati,2006,2015,618,18.4,5.6,4.2,0.4,0.4,0.8,.495,.496,.000,.564,20.3,.086"
"867,2005,NBA,1,27,POR,Linas Kleiza\kleizli01,20.181,F,lt,University of Missouri,2006,2013,409,20.0,8.7,3.6,0.8,0.4,0.2,.435,.501,.335,.763,13.6,.080"
"868,2005,NBA,1,28,SAS,Ian Mahinmi\mahinia01,18.240,C,fr,,2008,2019,580,16.5,5.0,4.3,0.5,0.6,0.7,.537,.542,.125,.612,24.7,.124"
"869,2005,NBA,1,29,MIA,Wayne Simien\simiewa01,22.117,F,us,University of Kansas,2006,2007,51,9.9,3.3,1.9,0.2,0.3,0.0,.469,.469,,.854,0.9,.083"
"870,2005,NBA,1,30,NYK,David Lee\leeda02,22.066,F,us,University of Florida,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,.535,.537,.034,.772,76.0,.150"
"871,2005,NBA,2,31,ATL,Salim Stoudamire\stoudsa01,22.266,G,us,University of Arizona,2006,2008,157,17.0,8.0,1.4,1.0,0.4,0.1,.407,.435,.366,.882,2.2,.040"
"872,2005,NBA,2,32,LAC,Daniel Ewing\ewingda01,22.100,G,us,Duke University,2006,2007,127,13.3,3.4,1.2,1.4,0.5,0.1,.389,.429,.295,.780,0.8,.024"
"873,2005,NBA,2,33,NOH,Brandon Bass\bassbr01,20.064,F,us,Louisiana State University,2006,2017,758,21.6,8.7,4.5,0.8,0.4,0.6,.499,.502,.207,.832,42.8,.125"
"874,2005,NBA,2,34,UTA,C.J. Miles\milescj01,18.107,G-F,us,,2006,2019,838,20.4,9.6,2.4,1.1,0.7,0.3,.412,.464,.359,.810,30.0,.084"
"875,2005,NBA,2,35,POR,Ricky Sanchez,,,,,,,,,,,,,,,,,,,"
"876,2005,NBA,2,36,MIL,Ersan ?lyasova\ilyaser01,18.049,F,tr,,2007,2019,745,23.9,10.6,5.8,1.1,0.7,0.4,.443,.481,.365,.773,44.9,.121"
"877,2005,NBA,2,37,LAL,Ronny Turiaf\turiaro01,22.172,F,mq,Gonzaga University,2006,2015,473,17.0,4.7,3.7,1.3,0.4,1.3,.533,.535,.000,.636,19.2,.115"
"878,2005,NBA,2,38,ORL,Travis Diener\dienetr01,23.125,G,us,Marquette University,2006,2010,179,14.9,4.8,1.4,2.4,0.4,0.1,.388,.442,.353,.847,5.6,.102"
"879,2005,NBA,2,39,LAL,Von Wafer\wafervo01,19.347,G,us,Florida State University,2006,2012,200,12.4,5.3,1.2,0.7,0.4,0.1,.420,.469,.325,.751,3.3,.064"
"880,2005,NBA,2,40,GSW,Monta Ellis\ellismo01,19.250,G,us,,2006,2017,833,34.8,17.8,3.5,4.6,1.7,0.3,.451,.482,.314,.772,41.9,.069"
"881,2005,NBA,2,41,TOR,Roko Uki?\ukicro01,21.052,G,hr,,2009,2010,85,11.6,4.0,0.9,1.9,0.4,0.0,.387,.439,.189,.746,-0.2,-0.007"
"882,2005,NBA,2,42,GSW,Chris Taft\taftch01,20.115,F,us,University of Pittsburgh,2006,2006,17,8.5,2.8,2.1,0.1,0.1,0.4,.605,.605,,.167,0.5,.155"
"883,2005,NBA,2,43,NJN,Mile Ili?\ilicmi01,21.031,C,ba,,2007,2007,5,1.2,0.0,0.2,0.0,0.0,0.0,.000,.000,,,-0.2,-1.264"
"884,2005,NBA,2,44,ORL,Martynas Andriuškevi?ius\andrima01,19.113,C,lt,,2006,2006,6,1.5,0.0,0.7,0.0,0.3,0.0,.000,.000,,,0.0,.155"
"885,2005,NBA,2,45,PHI,Lou Williams\willilo02,18.249,G,us,,2006,2019,936,24.6,14.2,2.2,3.3,0.9,0.2,.421,.459,.349,.839,59.4,.124"
"886,2005,NBA,2,46,IND,Erazem Lorbek\lorbeer01,21.133,F,si,,,,,,,,,,,,,,,,"
"887,2005,NBA,2,47,MIN,Bracey Wright\wrighbr02,21.002,G,us,Indiana University,2006,2007,26,12.5,5.0,1.5,0.8,0.4,0.0,.405,.446,.324,.794,0.5,.068"
"888,2005,NBA,2,48,SEA,Mickaël Gelabale\gelabmi01,22.043,F,gp,,2007,2013,145,16.2,4.6,2.3,0.8,0.3,0.2,.470,.519,.316,.815,3.0,.062"
"889,2005,NBA,2,49,WAS,Andray Blatche\blatcan01,18.315,F,us,,2006,2014,564,22.1,10.1,5.4,1.4,0.9,0.8,.467,.478,.237,.725,19.2,.074"
"890,2005,NBA,2,50,BOS,Ryan Gomes\gomesry01,22.306,F,us,Providence College,2006,2014,487,27.6,10.1,4.6,1.5,0.7,0.2,.445,.473,.349,.799,19.4,.069"
"891,2005,NBA,2,51,UTA,Robert Whaley\whalero01,23.079,C,us,Walsh University,2006,2006,23,9.2,2.1,1.9,0.7,0.3,0.3,.404,.404,,.500,0.0,.004"
"892,2005,NBA,2,52,DEN,Axel Hervelle\herveax01,21.211,F,be,,,,,,,,,,,,,,,,"
"893,2005,NBA,2,53,BOS,Orien Greene\greenor01,23.150,G,us,University of Louisiana at Lafayette,2006,2011,131,11.9,2.5,1.5,1.2,0.7,0.1,.387,.420,.212,.642,-0.7,-0.022"
"894,2005,NBA,2,54,NYK,Dijon Thompson\thompdi01,22.131,G-F,us,University of California Los Angeles,2006,2007,16,5.8,2.8,1.2,0.2,0.2,0.1,.425,.481,.308,.875,0.2,.102"
"895,2005,NBA,2,55,SEA,Lawrence Roberts\roberla01,22.257,F,us,Mississippi State University,2006,2007,87,13.2,3.8,3.6,0.4,0.5,0.2,.452,.460,.000,.688,2.5,.106"
"896,2005,NBA,2,56,DET,Amir Johnson\johnsam01,18.063,F-C,us,,2006,2019,870,21.1,7.0,5.4,1.2,0.6,1.0,.570,.588,.332,.673,55.3,.145"
"897,2005,NBA,2,57,PHO,Marcin Gortat\gortama01,21.137,C-F,pl,,2008,2019,806,25.7,9.9,7.9,1.1,0.5,1.1,.551,.553,.150,.680,61.3,.142"
"898,2005,NBA,2,58,TOR,Uroš Slokar\slokaur01,22.051,F,si,,2007,2007,20,3.6,1.9,0.7,0.1,0.1,0.1,.538,.542,.500,.692,0.1,.042"
"899,2005,NBA,2,59,ATL,Cenk Akyol\akyolce01,18.078,G,tr,,,,,,,,,,,,,,,,"
"900,2005,NBA,2,60,DET,Alex Acker\ackeral01,22.164,G,us,Pepperdine University,2006,2009,30,7.8,2.7,1.0,0.5,0.2,0.1,.370,.388,.320,.500,-0.2,-0.043"
"901,2004,NBA,1,1,ORL,Dwight Howard\howardw01,18.203,C,us,,2005,2019,1044,34.5,17.4,12.6,1.5,0.9,2.0,.583,.586,.095,.567,128.9,.172"
"902,2004,NBA,1,2,CHA,Emeka Okafor\okafoem01,21.275,C-F,us,University of Connecticut,2005,2018,616,30.9,12.0,9.7,0.8,0.7,1.6,.512,.512,.000,.586,45.3,.114"
"903,2004,NBA,1,3,CHI,Ben Gordon\gordobe01,21.087,G,gb,University of Connecticut,2005,2015,744,27.4,14.9,2.5,2.5,0.7,0.2,.432,.447,.401,.857,33.3,.078"
"904,2004,NBA,1,4,LAC,Shaun Livingston\livinsh01,18.291,G,us,,2005,2019,833,20.6,6.3,2.4,3.0,0.7,0.4,.486,.491,.178,.794,29.9,.084"
"905,2004,NBA,1,5,WAS,Devin Harris\harride01,21.123,G,us,University of Wisconsin,2005,2019,985,24.3,10.8,2.2,3.9,1.0,0.2,.432,.481,.325,.796,54.9,.110"
"906,2004,NBA,1,6,ATL,Josh Childress\childjo01,21.010,G-F,us,Stanford University,2005,2014,391,26.7,9.1,4.7,1.6,0.9,0.5,.522,.548,.329,.779,25.7,.118"
"907,2004,NBA,1,7,PHO,Luol Deng\denglu01,19.074,F,ss,Duke University,2005,2019,902,34.3,14.8,6.1,2.3,1.0,0.5,.456,.482,.332,.769,74.0,.115"
"908,2004,NBA,1,8,TOR,Rafael Araújo\araujra01,23.322,C,br,Brigham Young University,2005,2007,139,11.4,2.8,2.8,0.3,0.4,0.1,.405,.407,.250,.679,-0.4,-0.013"
"909,2004,NBA,1,9,PHI,Andre Iguodala\iguodan01,20.153,G-F,us,University of Arizona,2005,2019,1108,33.4,12.1,5.1,4.4,1.5,0.5,.466,.518,.333,.710,96.4,.125"
"910,2004,NBA,1,10,CLE,Luke Jackson\jackslu02,22.236,F,us,University of Oregon,2005,2008,73,9.9,3.5,1.2,0.8,0.3,0.0,.357,.356,.360,.732,0.2,.010"
"911,2004,NBA,1,11,GSW,Andris Biedri?š\biedran01,18.088,C,lv,,2005,2014,516,21.6,6.3,7.0,0.9,0.6,1.1,.594,.595,.000,.500,30.7,.132"
"912,2004,NBA,1,12,SEA,Robert Swift\swiftro01,18.208,C,us,,2005,2009,97,15.5,4.3,3.9,0.2,0.3,0.9,.506,.506,,.610,1.7,.054"
"913,2004,NBA,1,13,POR,Sebastian Telfair\telfase01,19.020,G,us,,2005,2015,564,21.5,7.4,1.6,3.5,0.7,0.1,.390,.419,.319,.777,5.0,.020"
"914,2004,NBA,1,14,UTA,Kris Humphries\humphkr01,19.143,F-C,us,University of Minnesota,2005,2017,800,17.8,6.7,5.4,0.7,0.4,0.6,.463,.471,.293,.700,30.3,.102"
"915,2004,NBA,1,15,BOS,Al Jefferson\jeffeal01,19.176,C-F,us,,2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,.499,.501,.121,.711,71.0,.130"
"916,2004,NBA,1,16,UTA,Kirk Snyder\snydeki01,21.025,G,us,University of Nevada Reno,2005,2008,211,16.8,6.3,2.3,1.1,0.4,0.3,.438,.475,.327,.699,4.5,.061"
"917,2004,NBA,1,17,ATL,Josh Smith\smithjo03,18.206,F,us,,2005,2018,894,32.4,14.5,7.4,3.1,1.2,1.9,.452,.480,.285,.632,51.0,.084"
"918,2004,NBA,1,18,NOH,J.R. Smith\smithjr01,18.293,G-F,us,,2005,2019,971,27.0,12.5,3.2,2.1,1.0,0.2,.419,.463,.373,.732,46.4,.085"
"919,2004,NBA,1,19,MIA,Dorell Wright\wrighdo01,18.209,F-G,us,,2005,2015,549,22.4,8.4,3.8,1.5,0.8,0.5,.424,.469,.365,.806,25.9,.101"
"920,2004,NBA,1,20,DEN,Jameer Nelson\nelsoja01,22.141,G,us,Saint Joseph's University,2005,2018,878,27.9,11.3,3.0,5.1,0.9,0.1,.436,.474,.368,.810,48.3,.094"
"921,2004,NBA,1,21,UTA,Pavel Podkolzin\podkopa01,19.165,C,ru,,2005,2006,6,4.7,0.7,1.5,0.0,0.0,0.2,.000,.000,,.500,-0.1,-0.163"
"922,2004,NBA,1,22,NJN,Viktor Khryapa\khryavi01,21.331,F,ua,,2005,2008,143,16.4,4.5,3.4,1.0,0.6,0.3,.443,.457,.292,.658,2.0,.041"
"923,2004,NBA,1,23,POR,Sergei Monia\moniase01,21.076,F,ru,,2006,2006,26,13.2,3.0,2.0,0.7,0.3,0.2,.333,.377,.265,.714,-0.2,-0.025"
"924,2004,NBA,1,24,BOS,Delonte West\westde01,20.339,G,us,Saint Joseph's University,2005,2012,432,27.4,9.7,2.9,3.6,1.1,0.4,.448,.479,.372,.826,24.5,.099"
"925,2004,NBA,1,25,BOS,Tony Allen\allento01,22.170,G-F,us,Oklahoma State University,2005,2018,820,22.0,8.1,3.5,1.3,1.4,0.4,.475,.492,.282,.709,38.7,.103"
"926,2004,NBA,1,26,SAC,Kevin Martin\martike02,21.149,G,us,Western Carolina University,2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,.437,.464,.384,.870,61.3,.137"
"927,2004,NBA,1,27,LAL,Sasha Vuja?i?\vujacsa01,20.113,G,si,,2005,2017,581,15.3,5.3,1.9,1.3,0.6,0.1,.390,.415,.367,.858,16.0,.086"
"928,2004,NBA,1,28,SAS,Beno Udrih\udrihbe01,21.360,G,si,,2005,2017,831,21.9,8.4,2.1,3.4,0.7,0.1,.463,.496,.349,.833,31.4,.083"
"929,2004,NBA,1,29,IND,David Harrison\harrida01,21.319,C,us,University of Colorado,2005,2008,189,14.2,5.0,2.9,0.2,0.3,1.0,.530,.530,,.525,3.2,.057"
"930,2004,NBA,2,30,ORL,Anderson Varejão\varejan01,21.275,F-C,br,,2005,2017,627,24.0,7.3,7.2,1.2,0.9,0.6,.510,.516,.024,.631,46.4,.148"
"931,2004,NBA,2,31,CHI,Jackson Vroman\vromaja01,23.024,F-C,us,Iowa State University,2005,2006,87,12.8,3.3,3.0,0.6,0.4,0.3,.408,.412,.000,.580,0.0,.001"
"932,2004,NBA,2,32,WAS,Peter John Ramos\ramospe01,19.047,C,pr,,2005,2005,6,3.3,1.8,0.7,0.0,0.0,0.2,.500,.500,,.500,0.0,-0.108"
"933,2004,NBA,2,33,LAC,Lionel Chalmers\chalmli01,23.232,G,us,Xavier University,2005,2005,36,12.0,3.1,0.9,1.4,0.4,0.0,.336,.395,.245,.625,-0.2,-0.025"
"934,2004,NBA,2,34,ATL,Donta Smith\smithdo04,20.215,G-F,us,Southeastern Illinois College,2005,2006,61,9.2,2.7,1.1,0.8,0.5,0.1,.421,.447,.308,.650,0.5,.043"
"935,2004,NBA,2,35,SEA,Andre Emmett\emmetan01,21.307,F,us,Texas Tech University,2005,2012,14,5.2,1.4,0.6,0.1,0.1,0.1,.462,.500,.000,.615,0.1,.040"
"936,2004,NBA,2,36,ORL,Antonio Burks\burksan01,24.126,G,us,University of Memphis,2005,2006,81,9.7,2.3,0.6,1.3,0.4,0.0,.387,.401,.235,.571,0.1,.004"
"937,2004,NBA,2,37,ATL,Royal Ivey\iveyro01,22.192,G,us,University of Texas at Austin,2005,2014,492,12.5,3.3,1.1,1.0,0.5,0.1,.406,.425,.361,.706,4.5,.035"
"938,2004,NBA,2,38,CHI,Chris Duhon\duhonch01,21.303,G,us,Duke University,2005,2013,606,25.6,6.5,2.3,4.4,0.8,0.1,.393,.426,.363,.784,25.0,.077"
"939,2004,NBA,2,39,TOR,Albert Miralles\miralal01,22.047,C,es,,,,,,,,,,,,,,,,"
"940,2004,NBA,2,40,BOS,Justin Reed\reedju01,22.165,F,us,University of Mississippi,2005,2007,136,10.6,3.5,1.4,0.5,0.2,0.1,.404,.407,.000,.752,0.5,.016"
"941,2004,NBA,2,41,SEA,David Young,,,,North Carolina Central University,,,,,,,,,,,,,,,"
"942,2004,NBA,2,42,ATL,Viktor Sanikidze\sanikvi01,18.089,F,ge,,,,,,,,,,,,,,,,"
"943,2004,NBA,2,43,NYK,Trevor Ariza\arizatr01,18.364,F,us,University of California Los Angeles,2005,2019,1011,29.8,10.7,4.8,2.2,1.5,0.3,.422,.482,.351,.728,60.0,.095"
"944,2004,NBA,2,44,NOH,Tim Pickett,,,,Florida State University,,,,,,,,,,,,,,,"
"945,2004,NBA,2,45,CHA,Bernard Robinson\robinbe01,23.186,G-F,us,University of Michigan,2005,2007,128,14.9,4.5,2.5,1.0,0.9,0.1,.417,.434,.161,.786,2.0,.049"
"946,2004,NBA,2,46,POR,Ha Seung-Jin\seungha01,18.329,C,kr,,2005,2006,46,6.9,1.5,1.5,0.1,0.1,0.3,.519,.519,,.500,-0.2,-0.029"
"947,2004,NBA,2,47,MIA,Pape Sow\sowpa01,22.220,F,sn,California State University Fullerton,2005,2007,76,11.6,2.9,2.8,0.2,0.4,0.3,.416,.416,,.678,0.8,.044"
"948,2004,NBA,2,48,SAC,Ricky Minard,,,,Morehead State University,,,,,,,,,,,,,,,"
"949,2004,NBA,2,49,MEM,Sergei Lishouk\lishcse01,22.091,C-F,ua,,,,,,,,,,,,,,,,"
"950,2004,NBA,2,50,DAL,Vassilis Spanoulis\spanova01,21.327,G,gr,,2007,2007,31,8.8,2.7,0.7,0.9,0.2,0.0,.319,.419,.172,.810,-0.1,-0.010"
"951,2004,NBA,2,51,NJN,Christian Drejer,,,,University of Florida,,,,,,,,,,,,,,,"
"952,2004,NBA,2,52,SAS,Romain Sato,,,,Xavier University,,,,,,,,,,,,,,,"
"953,2004,NBA,2,53,MIA,Matt Freije\freijma01,22.271,F,us,Vanderbilt University,2005,2007,42,14.0,3.2,2.0,0.6,0.4,0.1,.293,.343,.224,.714,-0.6,-0.047"
"954,2004,NBA,2,54,DET,Rickey Paulding,,,,University of Missouri,,,,,,,,,,,,,,,"
"955,2004,NBA,2,55,HOU,Luis Flores\florelu01,23.080,G,do,Manhattan College,2005,2005,16,4.8,2.2,0.2,0.7,0.1,0.0,.483,.474,.500,1.000,0.0,-0.020"
"956,2004,NBA,2,56,LAL,Marcus Douthit,,,,Providence College,,,,,,,,,,,,,,,"
"957,2004,NBA,2,57,SAS,Sergei Karaulov\karause01,22.076,C,uz,,,,,,,,,,,,,,,,"
"958,2004,NBA,2,58,MIN,Blake Stepp,,,,Gonzaga University,,,,,,,,,,,,,,,"
"959,2004,NBA,2,59,IND,Rashad Wright,,,,University of Georgia,,,,,,,,,,,,,,,"
