Player,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Tracy McGrady,TOR,24.066666666666666,4.0,9.0,0.44566666666666666,0.20000000000000004,0.6999999999999998,0.2823333333333333,3.8333333333333335,8.266666666666666,0.4606666666666667,0.458,2.3333333333333335,3.3000000000000003,0.7150000000000002,2.1333333333333333,3.266666666666667,5.3999999999999995,2.3666666666666667,1.0,1.3999999999999997,1.5333333333333332,1.9000000000000001,10.566666666666668,27.243333333333336
Jason Caffey,GSW,26.666666666666668,4.1000000000000005,8.866666666666667,0.465,0.0,0.0,0.0,4.1000000000000005,8.866666666666667,0.4666666666666666,0.465,2.3000000000000003,3.6666666666666665,0.6263333333333333,2.6333333333333333,3.5666666666666664,6.2,1.0999999999999999,0.6666666666666666,0.2333333333333333,2.1666666666666665,3.366666666666667,10.566666666666668,19.403333333333336
Robin Lopez,CHI,25.366666666666664,4.7,8.966666666666667,0.5303333333333334,0.06666666666666667,0.20000000000000004,0.17066666666666666,4.666666666666667,8.733333333333333,0.5396666666666666,0.5336666666666666,1.0666666666666667,1.4666666666666668,0.7336666666666667,2.3333333333333335,2.6,4.933333333333334,1.3666666666666665,0.16666666666666666,1.1,1.3666666666666665,1.7666666666666666,10.566666666666668,22.816666666666666
Rick Fox,BOS,24.383333333333336,3.9666666666666663,8.566666666666666,0.46683333333333327,0.6499999999999999,1.8166666666666664,0.3288333333333333,3.3166666666666664,6.733333333333334,0.4928333333333333,0.5003333333333333,1.9666666666666668,2.566666666666667,0.7741666666666668,1.2833333333333334,2.5666666666666664,3.8166666666666664,2.8000000000000003,1.25,0.44999999999999996,1.8333333333333333,2.983333333333333,10.566666666666666,23.64
Clint Capela,HOU,22.32,4.58,7.26,0.6016,0.0,0.0,0.0,4.58,7.239999999999999,0.6020000000000001,0.6016,1.42,2.9400000000000004,0.45600000000000007,2.74,5.46,8.2,0.82,0.5800000000000001,1.3199999999999998,1.06,2.3,10.559999999999999,28.368000000000002
Keith Van Horn,DAL,22.1,3.75,8.45,0.443,0.8500000000000001,2.4000000000000004,0.3715,2.9000000000000004,6.050000000000001,0.471,0.4965,2.15,2.6500000000000004,0.8075,1.1,2.95,4.0,0.95,0.55,0.25,1.25,2.65,10.55,22.82
C.J. Miles,CLE,20.15,3.7,8.7,0.425,1.75,4.55,0.38849999999999996,1.95,4.15,0.4655,0.5275000000000001,1.35,1.55,0.861,0.4,2.0,2.35,1.0,0.8500000000000001,0.3,1.0,2.05,10.55,25.545
Brad Miller,CHI,26.400000000000002,3.55,7.925000000000001,0.45075,0.15,0.575,0.30274999999999996,3.425,7.35,0.46625,0.46149999999999997,3.2,4.075,0.7934999999999999,2.425,4.6,7.025,2.275,0.75,0.5249999999999999,1.45,3.0,10.55,23.6625
Robert Horry,HOU,32.074999999999996,4.0249999999999995,9.0,0.44749999999999995,1.0,2.825,0.33099999999999996,2.9749999999999996,6.15,0.48424999999999996,0.5015000000000001,1.525,2.05,0.746,1.4249999999999998,3.9,5.325,3.175,1.4,1.175,1.9749999999999999,2.575,10.55,20.5025
Rudy Gobert,UTA,27.61666666666667,3.8333333333333335,6.166666666666667,0.6001666666666666,0.0,0.0,0.0,3.8333333333333335,6.166666666666667,0.6008333333333333,0.6001666666666666,2.8166666666666664,4.483333333333333,0.6091666666666666,3.0500000000000003,6.949999999999999,10.05,1.2666666666666666,0.6499999999999999,2.1,1.5499999999999998,2.45,10.533333333333333,24.868333333333336
